temperature_index,temperature,observable,n_samples,mean,std,tau_int,tau_int_samples,tau_int_cycles,sample_cycle_spacing,ess,drift,drift_in_std,block_mean_std,block_mean_range_over_std,acf_method
0,280.0,contacts,150,2.6933333333333334,1.7007710669641056,1.0,1.0,1.0,1,150.0,0.16000000000000014,0.09407497758390365,0.29013406862651925,0.47037488791951804,geyer_initial_positive_sequence
0,280.0,rg,150,3.258465240334345,0.5713698773930036,1.2866183451122737,1.2866183451122737,1.2866183451122737,1,116.58468929021109,-0.029374838324927488,-0.051411247752430396,0.06383124913667274,0.3051060502301978,geyer_initial_positive_sequence
0,280.0,rg2,150,10.94405925925926,3.8928355380788298,1.3537340591810696,1.3537340591810696,1.3537340591810696,1,110.80462885800574,-0.1976000000000031,-0.05075991473750303,0.4357330789649232,0.3045100148239041,geyer_initial_positive_sequence
0,280.0,ree2,150,74.49333333333334,42.864864658858096,1.2240610966859777,1.2240610966859777,1.2240610966859777,1,122.54290280616704,1.5466666666666669,0.036082387731207866,6.94417101683931,0.45569567263982336,geyer_initial_positive_sequence
0,280.0,m_long_fixed,30,0.03333333333333333,0.1795054935711501,1.0,1.0,5.0,5,30.0,-0.06666666666666667,-0.37139067635410383,0.06666666666666667,0.9284766908852595,geyer_initial_positive_sequence
0,280.0,m_global_scaled,30,0.1,0.30000000000000004,1.0,1.0,5.0,5,30.0,-0.06666666666666667,-0.22222222222222218,0.0816496580927726,0.5555555555555555,geyer_initial_positive_sequence
0,280.0,smax,30,2.533333333333333,0.8844332774281065,3.3409090909090926,3.3409090909090926,16.704545454545464,5,8.97959183673469,0.6666666666666665,0.753778361444409,0.4876246279442597,1.3191121325277158,geyer_initial_positive_sequence
0,280.0,largest_component_fraction,30,0.08444444444444447,0.02948110924760356,3.340909090909091,3.340909090909091,16.704545454545453,5,8.979591836734695,0.02222222222222224,0.7537783614444095,0.01625415426480866,1.319112132527716,geyer_initial_positive_sequence
0,280.0,energy,150,330.8882595737132,208.94746718356933,1.0,1.0,1.0,1,150.0,19.656728291507704,0.09407497758390354,35.64429096938215,0.4703748879195182,geyer_initial_positive_sequence
1,280.2005,contacts,150,2.74,1.6306644862345738,1.0,1.0,1.0,1,150.0,0.19999999999999973,0.12264938722117322,0.22939534045447,0.4088312907372445,geyer_initial_positive_sequence
1,280.2005,rg,150,3.2403431263265317,0.5714038410741772,1.209926886709611,1.209926886709611,1.209926886709611,1,123.97443320556677,-0.020646368693033157,-0.036132708968529555,0.06568668777917153,0.29392338892202263,geyer_initial_positive_sequence
1,280.2005,rg2,150,10.826325925925925,3.9130519594022983,1.2082186479101997,1.2082186479101997,1.2082186479101997,1,124.14971434139682,-0.19478518518518584,-0.04977832832430327,0.4543835682610278,0.29407755191589924,geyer_initial_positive_sequence
1,280.2005,ree2,150,68.81333333333333,48.91807936631291,1.1292775802946657,1.1292775802946657,1.1292775802946657,1,132.82828121041777,-3.9466666666666583,-0.0806791010152476,4.555709482494345,0.2657504171954952,geyer_initial_positive_sequence
1,280.2005,m_long_fixed,30,0.03333333333333333,0.1795054935711501,1.0,1.0,5.0,5,30.0,-0.06666666666666667,-0.37139067635410383,0.06666666666666667,0.9284766908852595,geyer_initial_positive_sequence
1,280.2005,m_global_scaled,30,0.06666666666666667,0.3590109871423002,1.0,1.0,5.0,5,30.0,-0.13333333333333333,-0.37139067635410383,0.13333333333333333,0.9284766908852595,geyer_initial_positive_sequence
1,280.2005,smax,30,2.1666666666666665,0.8198915917499229,1.0,1.0,5.0,5,30.0,-0.06666666666666687,-0.08131156281817442,0.10540925533894603,0.40655781409087105,geyer_initial_positive_sequence
1,280.2005,largest_component_fraction,30,0.07222222222222223,0.027329719724997432,1.0,1.0,5.0,5,30.0,-0.0022222222222222227,-0.08131156281817417,0.0035136418446315328,0.4065578140908709,geyer_initial_positive_sequence
1,280.2005,energy,150,335.5916898612312,199.72169727450984,1.0,1.0,1.0,1,150.0,24.495743785491243,0.12264938722117297,28.09604742679128,0.40883129073724495,geyer_initial_positive_sequence
2,302.4,contacts,150,3.72,2.4389068589568295,1.2994028512507847,1.2994028512507847,1.2994028512507847,1,115.43764111000092,0.23999999999999977,0.09840474191074795,0.4102032016777376,0.45102173375759524,geyer_initial_positive_sequence
2,302.4,rg,150,3.25675706217051,0.5954333257468194,1.0,1.0,1.0,1,150.0,0.12268218543410203,0.20603849352944512,0.08182751517171626,0.4279703507931673,geyer_initial_positive_sequence
2,302.4,rg2,150,10.961007407407408,4.024097155284831,1.0,1.0,1.0,1,150.0,0.8277629629629626,0.20570153528124063,0.5323623271864831,0.40734234834078303,geyer_initial_positive_sequence
2,302.4,ree2,150,70.0,46.49573457139196,1.0,1.0,1.0,1,150.0,-0.4000000000000057,-0.008602939682258918,4.962436677457735,0.3355146476080929,geyer_initial_positive_sequence
2,302.4,m_long_fixed,30,0.03333333333333333,0.17950549357115012,1.0,1.0,5.0,5,30.0,0.06666666666666667,0.3713906763541038,0.06666666666666667,0.9284766908852594,geyer_initial_positive_sequence
2,302.4,m_global_scaled,30,0.06666666666666667,0.24944382578492943,1.0,1.0,5.0,5,30.0,0.0,0.0,0.13333333333333333,1.3363062095621219,geyer_initial_positive_sequence
2,302.4,smax,30,2.6,1.019803902718557,1.0410256410256409,1.0410256410256409,5.205128205128204,5,28.817733990147786,0.2666666666666666,0.2614881801842453,0.3091206165165235,0.817150563075767,geyer_initial_positive_sequence
2,302.4,largest_component_fraction,30,0.0866666666666667,0.0339934634239519,1.0410256410256409,1.0410256410256409,5.205128205128204,5,28.817733990147786,0.00888888888888889,0.2614881801842454,0.010304020550550777,0.8171505630757663,geyer_initial_positive_sequence
2,302.4,energy,150,300.82240694160515,197.22522355316755,1.2994028512507843,1.2994028512507843,1.2994028512507843,1,115.43764111000097,19.407897222039082,0.09840474191074826,33.17158990963697,0.4510217337575947,geyer_initial_positive_sequence
3,328.6957,contacts,150,4.48,2.2382135733660453,2.0147556691152984,2.0147556691152984,2.0147556691152984,1,74.45071494245586,0.5866666666666669,0.2621138007774566,0.4187813006543843,0.5212490356369873,geyer_initial_positive_sequence
3,328.6957,rg,150,3.1217438218344813,0.5372536056316178,1.0,1.0,1.0,1,150.0,-0.16026215015042578,-0.2982988824468007,0.13863813513590148,0.7079182913636698,geyer_initial_positive_sequence
3,328.6957,rg2,150,10.033925925925924,3.4901890987638935,1.0,1.0,1.0,1,150.0,-1.0288296296296284,-0.294777618208138,0.8729511116592104,0.692799138263418,geyer_initial_positive_sequence
3,328.6957,ree2,150,67.06666666666666,37.60809605509017,1.0,1.0,1.0,1,150.0,-7.866666666666667,-0.20917481850565342,6.235525461240438,0.4626663358472503,geyer_initial_positive_sequence
3,328.6957,m_long_fixed,30,0.03333333333333333,0.17950549357115012,1.0,1.0,5.0,5,30.0,0.06666666666666667,0.3713906763541038,0.06666666666666667,0.9284766908852594,geyer_initial_positive_sequence
3,328.6957,m_global_scaled,30,0.23333333333333334,0.6155395104206463,1.137047898338221,1.137047898338221,5.685239491691105,5,26.38411279229711,0.4666666666666667,0.7581425055034353,0.2905932629027116,1.0830607221477646,geyer_initial_positive_sequence
3,328.6957,smax,30,2.7666666666666666,0.9195409482755815,2.6169951817783623,2.6169951817783623,13.084975908891812,5,11.463528939175841,0.7333333333333334,0.7974993769538551,0.501109879279097,1.4499988671888275,geyer_initial_positive_sequence
3,328.6957,largest_component_fraction,30,0.09222222222222222,0.030651364942519382,2.6169951817783614,2.6169951817783614,13.084975908891806,5,11.463528939175847,0.02444444444444442,0.7974993769538543,0.016703662642636563,1.4499988671888273,geyer_initial_positive_sequence
3,328.6957,energy,150,141.45832962728966,70.67275746372496,2.014755669115299,2.014755669115299,2.014755669115299,1,74.45071494245585,18.52430507024033,0.26211380077745683,13.223237336989516,0.521249035636988,geyer_initial_positive_sequence
