pair,T_lo,T_hi,proposals,acceptances,rate
0,280.0,280.2005,150,149,0.9933
1,280.2005,302.4,150,119,0.7933
2,302.4,328.6957,150,117,0.7800
3,328.6957,360.0,150,115,0.7667
