temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,280.0,pivot,6027,4297,3675,0.712958,0.862069,0.609756,4263,0.707317
0,280.0,crankshaft,5990,3673,3336,0.613189,0.908249,0.556928,3673,0.613189
0,280.0,end,5983,3884,3569,0.649173,0.918898,0.596523,3884,0.649173
1,280.2005,pivot,5912,4224,3585,0.714479,0.856222,0.606394,4187,0.708221
1,280.2005,crankshaft,6043,3782,3421,0.625848,0.904548,0.566110,3782,0.625848
1,280.2005,end,6045,3938,3627,0.651447,0.921026,0.600000,3938,0.651447
2,302.4,pivot,6002,4203,3746,0.700267,0.897460,0.624125,4174,0.695435
2,302.4,crankshaft,6030,3603,3374,0.597512,0.936442,0.559536,3603,0.597512
2,302.4,end,5968,3824,3626,0.640751,0.948222,0.607574,3824,0.640751
3,328.6957,pivot,6059,4102,3896,0.677009,0.956074,0.643010,4075,0.672553
3,328.6957,crankshaft,5965,3379,3278,0.566471,0.970109,0.549539,3379,0.566471
3,328.6957,end,5976,3786,3711,0.633534,0.980190,0.620984,3786,0.633534
4,360.0,pivot,6042,3988,3801,0.660046,0.962278,0.629096,3950,0.653757
4,360.0,crankshaft,5838,3056,2992,0.523467,0.979058,0.512504,3056,0.523467
4,360.0,end,6120,3791,3722,0.619444,0.981799,0.608170,3791,0.619444
