walker,fraction_visited,occupancy_T0,occupancy_T1,occupancy_T2,occupancy_T3,occupancy_T4
0,1.0,62,63,61,52,62
1,1.0,64,63,61,55,57
2,1.0,56,57,57,62,68
3,1.0,60,62,62,62,54
4,1.0,58,55,59,69,59
