pair,T_lo,T_hi,proposals,acceptances,rate
0,280.0,280.2005,150,150,1.0000
1,280.2005,302.4,150,116,0.7733
2,302.4,328.6957,150,123,0.8200
3,328.6957,360.0,150,108,0.7200
