bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
7.15,3.7350174,1.5125346,0.0025009972,-0.00036633968,-0.012373729,0.00036691908,0.4049605139,fitted scale,rms
7.2,3.7350353,1.5125418,0.00237899,-0.00034846632,-0.012068117,0.00034901771,0.4049605139,fitted scale,rms
7.25,3.7350523,1.5125487,0.0022629362,-0.00033146531,-0.011770059,0.00033199003,0.4049605139,fitted scale,rms
7.3,3.7350685,1.5125553,0.0021525452,-0.00031529402,-0.011479367,0.00031579335,0.4049605139,fitted scale,rms
7.35,3.7350839,1.5125615,0.0020475405,-0.00029991195,-0.011195858,0.0003003871,0.4049605139,fitted scale,rms
7.4,3.7350985,1.5125674,0.0019476593,-0.00028528054,-0.010919356,0.00028573268,0.4049605139,fitted scale,rms
7.45,3.7351125,1.5125731,0.0018526513,-0.00027136315,-0.010649685,0.00027179339,0.4049605139,fitted scale,rms
7.5,3.7351257,1.5125784,0.0017622788,-0.0002581249,-0.010386678,0.00025853429,0.4049605139,fitted scale,rms
7.55,3.7351383,1.5125835,0.0016763155,-0.00024553265,-0.010130169,0.00024592219,0.4049605139,fitted scale,rms
7.6,3.7351503,1.5125884,0.0015945462,-0.00023355485,-0.0098799981,0.0002339255,0.4049605139,fitted scale,rms
7.65,3.7351617,1.512593,0.0015167662,-0.0002221615,-0.0096360078,0.00022251417,0.4049605139,fitted scale,rms
7.7,3.7351726,1.5125974,0.0014427808,-0.00021132407,-0.0093980453,0.00021165963,0.4049605139,fitted scale,rms
7.75,3.7351829,1.5126016,0.0013724049,-0.00020101542,-0.0091659618,0.0002013347,0.4049605139,fitted scale,rms
7.8,3.7351927,1.5126056,0.0013054623,-0.00019120975,-0.0089396116,0.00019151353,0.4049605139,fitted scale,rms
7.85,3.735202,1.5126093,0.0012417854,-0.0001818825,-0.0087188531,0.00018217154,0.4049605139,fitted scale,rms
7.9,3.7352109,1.5126129,0.0011812149,-0.00017301032,-0.0085035479,0.00017328532,0.4049605139,fitted scale,rms
7.95,3.7352194,1.5126164,0.0011235992,-0.000164571,-0.0082935612,0.00016483264,0.4049605139,fitted scale,rms
