bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
-0.45,2.5098964,0.86591426,10.941065,-1.6746361,-0.74325507,1.7054485,0.345,nominal scale,rms
-0.4,2.5939778,0.89492235,9.9992988,-1.626234,-0.72724916,1.6434308,0.345,nominal scale,rms
-0.35,2.6742395,0.92261263,9.1317761,-1.5510462,-0.70921371,1.5577423,0.345,nominal scale,rms
-0.3,2.749752,0.94866446,8.3420333,-1.4587622,-0.6896157,1.4580439,0.345,nominal scale,rms
-0.25,2.8200439,0.97291514,7.6289492,-1.3579926,-0.66894043,1.3524867,0.345,nominal scale,rms
-0.2,2.8850007,0.99532525,6.9882546,-1.2553881,-0.64764662,1.2471082,0.345,nominal scale,rms
-0.15,2.9447547,1.0159404,6.4139213,-1.1555016,-0.62613516,1.1458737,0.345,nominal scale,rms
-0.1,2.9995881,1.0348579,5.8992266,-1.0610842,-0.60473313,1.0510524,0.345,nominal scale,rms
-0.05,3.04986,1.0522017,5.4374602,-0.97353709,-0.5836909,0.96368703,0.345,nominal scale,rms
0,3.0959568,1.0681051,5.0223307,-0.89334814,-0.5631882,0.88401605,0.345,nominal scale,rms
0.05,3.1382616,1.0827002,4.6481588,-0.82044097,-0.54334493,0.81179825,0.345,nominal scale,rms
0.1,3.1771366,1.0961121,4.3099345,-0.75442368,-0.52423335,0.74653767,0.345,nominal scale,rms
0.15,3.2129153,1.1084558,4.0032987,-0.69475224,-0.50588968,0.68762752,0.345,nominal scale,rms
0.2,3.2458994,1.1198353,3.724486,-0.64083063,-0.488324,0.63443611,0.345,nominal scale,rms
0.25,3.2763589,1.1303438,3.4702551,-0.59206829,-0.47152821,0.58635431,0.345,nominal scale,rms
0.3,3.3045348,1.1400645,3.2378164,-0.54791009,-0.45548212,0.54281897,0.345,nominal scale,rms
0.35,3.3306408,1.1490711,3.0247661,-0.50784988,-0.44015795,0.50332219,0.345,nominal scale,rms
0.4,3.354867,1.1574291,2.8290274,-0.47143446,-0.42552355,0.46741256,0.345,nominal scale,rms
0.45,3.3773821,1.1651968,2.6488,-0.43826245,-0.41154467,0.43469236,0.345,nominal scale,rms
0.5,3.3983362,1.172426,2.4825176,-0.40798052,-0.3981865,0.40481275,0.345,nominal scale,rms
0.55,3.4178634,1.1791629,2.3288122,-0.38027861,-0.38541465,0.37746841,0.345,nominal scale,rms
0.6,3.4360831,1.1854487,2.1864841,-0.35488496,-0.37319584,0.35239223,0.345,nominal scale,rms
0.65,3.4531026,1.1913204,2.0544774,-0.3315613,-0.36149826,0.3293503,0.345,nominal scale,rms
0.7,3.4690181,1.1968113,1.9318589,-0.31009848,-0.35029178,0.30813747,0.345,nominal scale,rms
0.75,3.4839163,1.2019511,1.8178014,-0.2903126,-0.33954807,0.28857345,0.345,nominal scale,rms
0.8,3.4978755,1.206767,1.7115684,-0.27204159,-0.32924057,0.27049939,0.345,nominal scale,rms
0.85,3.5109663,1.2112834,1.6125027,-0.25514229,-0.31934447,0.253775,0.345,nominal scale,rms
0.9,3.523253,1.2155223,1.5200154,-0.23948791,-0.30983664,0.23827602,0.345,nominal scale,rms
0.95,3.5347939,1.2195039,1.433578,-0.22496588,-0.30069554,0.22389212,0.345,nominal scale,rms
1,3.5456422,1.2232465,1.352714,-0.211476,-0.29190113,0.21052504,0.345,nominal scale,rms
1.05,3.5558464,1.226767,1.2769936,-0.19892881,-0.28343475,0.1980871,0.345,nominal scale,rms
1.1,3.5654509,1.2300806,1.2060273,-0.1872443,-0.27527906,0.1864998,0.345,nominal scale,rms
1.15,3.5744964,1.2332012,1.1394619,-0.17635071,-0.2674179,0.17569271,0.345,nominal scale,rms
1.2,3.5830202,1.236142,1.0769763,-0.16618351,-0.25983625,0.16560252,0.345,nominal scale,rms
1.25,3.5910566,1.2389145,1.0182776,-0.15668458,-0.25252009,0.15617213,0.345,nominal scale,rms
1.3,3.5986374,1.2415299,0.9630987,-0.1478014,-0.24545638,0.14734999,0.345,nominal scale,rms
1.35,3.6057916,1.2439981,0.91119502,-0.1394865,-0.23863292,0.13908942,0.345,nominal scale,rms
1.4,3.6125463,1.2463285,0.86234253,-0.13169679,-0.23203834,0.13134807,0.345,nominal scale,rms
1.45,3.6189264,1.2485296,0.81633553,-0.12439315,-0.22566203,0.12408748,0.345,nominal scale,rms
1.5,3.6249551,1.2506095,0.77298491,-0.11753996,-0.21949403,0.11727259,0.345,nominal scale,rms
1.55,3.6306537,1.2525755,0.7321165,-0.11110477,-0.21352503,0.11087146,0.345,nominal scale,rms
1.6,3.6360422,1.2544346,0.69356967,-0.10505789,-0.20774632,0.10485488,0.345,nominal scale,rms
1.65,3.6411392,1.256193,0.65719606,-0.099372209,-0.20214971,0.099196114,0.345,nominal scale,rms
1.7,3.6459618,1.2578568,0.62285847,-0.094022844,-0.19672751,0.093870655,0.345,nominal scale,rms
1.75,3.6505262,1.2594315,0.59042984,-0.088986972,-0.1914725,0.088855999,0.345,nominal scale,rms
1.8,3.6548474,1.2609224,0.55979236,-0.084243609,-0.18637786,0.084131451,0.345,nominal scale,rms
1.85,3.6589394,1.2623341,0.53083667,-0.079773438,-0.1814372,0.07967795,0.345,nominal scale,rms
1.9,3.6628152,1.2636712,0.50346115,-0.07555865,-0.17664447,0.075477915,0.345,nominal scale,rms
1.95,3.6664872,1.2649381,0.47757122,-0.071582805,-0.17199395,0.071515113,0.345,nominal scale,rms
2,3.6699667,1.2661385,0.45307884,-0.067830707,-0.16748024,0.067774529,0.345,nominal scale,rms
2.05,3.6732646,1.2672763,0.4299019,-0.06428829,-0.16309825,0.064242263,0.345,nominal scale,rms
2.1,3.6763909,1.2683549,0.40796379,-0.060942522,-0.15884312,0.060905427,0.345,nominal scale,rms
2.15,3.6793552,1.2693775,0.38719297,-0.057781308,-0.15471028,0.05775206,0.345,nominal scale,rms
2.2,3.6821662,1.2703473,0.36752254,-0.054793419,-0.15069535,0.054771049,0.345,nominal scale,rms
2.25,3.6848323,1.2712671,0.34888993,-0.051968412,-0.1467942,0.051952056,0.345,nominal scale,rms
2.3,3.6873614,1.2721397,0.33123655,-0.049296566,-0.14300289,0.049285454,0.345,nominal scale,rms
2.35,3.6897608,1.2729675,0.31450748,-0.046768826,-0.13931767,0.046762272,0.345,nominal scale,rms
2.4,3.6920376,1.273753,0.29865125,-0.044376744,-0.13573496,0.04437414,0.345,nominal scale,rms
2.45,3.6941982,1.2744984,0.28361955,-0.042112438,-0.13225135,0.04211324,0.345,nominal scale,rms
2.5,3.6962489,1.2752059,0.26936701,-0.039968541,-0.12886358,0.039972268,0.345,nominal scale,rms
2.55,3.6981955,1.2758774,0.25585101,-0.037938166,-0.12556855,0.03794439,0.345,nominal scale,rms
2.6,3.7000433,1.276515,0.24303149,-0.036014867,-0.12236326,0.036023209,0.345,nominal scale,rms
2.65,3.7017978,1.2771202,0.23087075,-0.034192607,-0.11924488,0.034202731,0.345,nominal scale,rms
2.7,3.7034636,1.2776949,0.21933332,-0.032465728,-0.11621067,0.032477338,0.345,nominal scale,rms
2.75,3.7050455,1.2782407,0.2083858,-0.030828924,-0.11325801,0.030841758,0.345,nominal scale,rms
2.8,3.7065478,1.278759,0.19799671,-0.029277214,-0.1103844,0.029291041,0.345,nominal scale,rms
2.85,3.7079746,1.2792512,0.18813639,-0.027805922,-0.10758743,0.027820538,0.345,nominal scale,rms
2.9,3.7093299,1.2797188,0.17877687,-0.026410651,-0.10486476,0.026425878,0.345,nominal scale,rms
2.95,3.7106172,1.2801629,0.16989176,-0.02508727,-0.10221419,0.025102952,0.345,nominal scale,rms
3,3.7118401,1.2805849,0.16145616,-0.02383189,-0.099633571,0.02384789,0.345,nominal scale,rms
3.05,3.713002,1.2809857,0.15344654,-0.022640852,-0.097120836,0.022657051,0.345,nominal scale,rms
3.1,3.7141059,1.2813665,0.14584071,-0.021510709,-0.094674003,0.021527004,0.345,nominal scale,rms
3.15,3.7151547,1.2817284,0.13861768,-0.020438214,-0.09229116,0.020454516,0.345,nominal scale,rms
3.2,3.7161513,1.2820722,0.13175762,-0.019420306,-0.089970462,0.019436538,0.345,nominal scale,rms
3.25,3.7170983,1.2823989,0.12524178,-0.018454098,-0.087710131,0.018470194,0.345,nominal scale,rms
3.3,3.7179983,1.2827094,0.11905243,-0.017536866,-0.08550845,0.01755277,0.345,nominal scale,rms
3.35,3.7188536,1.2830045,0.1131728,-0.01666604,-0.083363763,0.016681705,0.345,nominal scale,rms
3.4,3.7196665,1.2832849,0.10758701,-0.015839192,-0.081274468,0.01585458,0.345,nominal scale,rms
3.45,3.7204391,1.2835515,0.10228005,-0.015054031,-0.079239019,0.015069107,0.345,nominal scale,rms
3.5,3.7211734,1.2838048,0.097237692,-0.01430839,-0.07725592,0.014323129,0.345,nominal scale,rms
3.55,3.7218714,1.2840456,0.092446472,-0.013600222,-0.075323726,0.013614602,0.345,nominal scale,rms
3.6,3.7225349,1.2842745,0.087893635,-0.012927591,-0.073441038,0.012941595,0.345,nominal scale,rms
3.65,3.7231656,1.2844921,0.083567098,-0.012288668,-0.071606502,0.012302283,0.345,nominal scale,rms
3.7,3.7237651,1.284699,0.079455412,-0.011681719,-0.069818806,0.011694937,0.345,nominal scale,rms
3.75,3.724335,1.2848956,0.075547726,-0.011105107,-0.068076682,0.011117921,0.345,nominal scale,rms
3.8,3.7248769,1.2850825,0.071833756,-0.010557281,-0.0663789,0.010569688,0.345,nominal scale,rms
3.85,3.725392,1.2852602,0.06830375,-0.010036772,-0.064724268,0.010048772,0.345,nominal scale,rms
3.9,3.7258818,1.2854292,0.064948464,-0.0095421903,-0.063111631,0.0095537835,0.345,nominal scale,rms
3.95,3.7263474,1.2855899,0.061759129,-0.0090722187,-0.061539868,0.009083408,0.345,nominal scale,rms
4,3.7267901,1.2857426,0.058727429,-0.0086256096,-0.060007895,0.0086363994,0.345,nominal scale,rms
4.05,3.727211,1.2858878,0.055845474,-0.008201181,-0.058514656,0.0082115769,0.345,nominal scale,rms
4.1,3.7276113,1.2860259,0.05310578,-0.0077978125,-0.057059129,0.0078078212,0.345,nominal scale,rms
4.15,3.7279918,1.2861572,0.050501244,-0.0074144423,-0.055640322,0.0074240713,0.345,nominal scale,rms
4.2,3.7283537,1.286282,0.048025126,-0.0070500637,-0.054257272,0.007059321,0.345,nominal scale,rms
4.25,3.7286977,1.2864007,0.045671029,-0.006703722,-0.052909042,0.0067126165,0.345,nominal scale,rms
4.3,3.7290249,1.2865136,0.04343288,-0.0063745119,-0.051594724,0.0063830529,0.345,nominal scale,rms
4.35,3.7293361,1.2866209,0.041304917,-0.0060615748,-0.050313435,0.0060697719,0.345,nominal scale,rms
4.4,3.7296319,1.286723,0.039281666,-0.0057640962,-0.049064319,0.0057719592,0.345,nominal scale,rms
4.45,3.7299132,1.2868201,0.03735793,-0.0054813032,-0.047846541,0.0054888422,0.345,nominal scale,rms
4.5,3.7301808,1.2869124,0.035528777,-0.0052124626,-0.046659292,0.0052196878,0.345,nominal scale,rms
4.55,3.7304352,1.2870001,0.03378952,-0.0049568785,-0.045501784,0.0049637999,0.345,nominal scale,rms
4.6,3.7306772,1.2870836,0.032135708,-0.0047138904,-0.044373252,0.0047205184,0.345,nominal scale,rms
4.65,3.7309073,1.287163,0.030563116,-0.0044828715,-0.043272953,0.0044892161,0.345,nominal scale,rms
4.7,3.7311261,1.2872385,0.029067728,-0.0042632266,-0.042200161,0.0042692979,0.345,nominal scale,rms
4.75,3.7313342,1.2873103,0.027645731,-0.0040543908,-0.041154174,0.0040601986,0.345,nominal scale,rms
4.8,3.7315321,1.2873786,0.0262935,-0.0038558276,-0.040134306,0.0038613817,0.345,nominal scale,rms
4.85,3.7317203,1.2874435,0.025007594,-0.0036670276,-0.039139892,0.0036723375,0.345,nominal scale,rms
4.9,3.7318993,1.2875053,0.023784742,-0.0034875071,-0.038170282,0.0034925822,0.345,nominal scale,rms
