parameter,value,kind,bound_low,bound_high,at_boundary,units_or_description
A,6.2772557,thermodynamic,0.01,200,,amplitude of b(T) = A*(Tc/T - 1) (reduced units)
Tc,282.90465,thermodynamic,10,5000,,bias zero-crossing temperature of b(T) = A*(Tc/T - 1) (K)
rg_scale,0.40496051,scale,0.25,0.55,,observed Rg units per lattice unit (Rg_obs = rg_scale*Rg_lattice)
rg_scale_effective,0.40496051,scale_effective,,,,scale used for every fitted-model lattice/observed conversion
T_bias_zero,282.90465,derived,,,,temperature where b(T)=0 inside the observed range (K)
T_rg_max_slope,306.12,derived,,,,"temperature of steepest fitted collapse, argmax of -dRg/dT (K)"
T_rg_half,301.00924,derived,,,,temperature crossing the midpoint Rg between the interval ends (K)
