pair,T_lo,T_hi,proposals,acceptances,rate,K_lo,K_hi
0,nan,nan,2500,1589,0.6356,-0.0,0.2
1,nan,nan,2500,1763,0.7052,0.2,0.35
2,nan,nan,2500,1883,0.7532,0.35,0.45
3,nan,nan,2500,1874,0.7496,0.45,0.55
4,nan,nan,2500,1838,0.7352,0.55,0.65
5,nan,nan,2500,1887,0.7548,0.65,0.75
6,nan,nan,2500,1923,0.7692,0.75,0.85
7,nan,nan,2500,1942,0.7768,0.85,0.95
8,nan,nan,2500,1948,0.7792,0.95,1.05
