T,E_mean,E_std,C_mean,C_std,Rg_mean,Rg_std,Rg_mean_lattice,Rg_std_lattice,local_acc_rate,Rg2_mean,Rg2_std,Rg2_mean_lattice,Rg2_std_lattice,Ree2_mean,Ree2_std,Ree2_mean_lattice,Ree2_std_lattice,m_long_mean,m_long_std,Smax_mean,Smax_std,largest_component_fraction_mean,largest_component_fraction_std,n_structural_samples,m_long_fixed_mean,m_long_fixed_std,m_global_scaled_mean,m_global_scaled_std,state_changing_acceptance_rate,K
nan,0.0,0.0,5.004,2.789979211392085,3.042886388458775,0.5788484586171271,3.042886388458775,0.5788484586171271,0.6126033333333334,9.594223111111113,3.7300291897575892,9.594223111111113,3.7300291897575892,60.4656,41.37507482337645,60.4656,41.37507482337645,0.194,0.6421557443486743,3.242,1.4517010711575575,0.10806666666666666,0.04839003570525192,1000,0.194,0.6421557443486743,0.42,0.9610411021387171,0.6107166666666667,-0.0
nan,-0.286576,0.1406895739704972,7.1644,3.51723934926243,2.798683900674398,0.5510744874992852,2.798683900674398,0.5510744874992852,0.5323366666666667,8.136314666666667,3.2913596104769103,8.136314666666667,3.2913596104769103,49.7,35.60788115010496,49.7,35.60788115010496,0.462,1.058563177141544,4.086,2.175914520379879,0.1362,0.07253048401266264,1000,0.462,1.058563177141544,1.0,1.6099689437998486,0.53047,0.2
nan,-1.1263629999999998,0.49901954844574975,9.1948,4.07362896690408,2.6028995077620407,0.5200106166041392,2.6028995077620407,0.5200106166041392,0.4618233333333333,7.04549688888889,2.93544370289306,7.04549688888889,2.93544370289306,40.7952,31.25778714112693,40.7952,31.25778714112693,0.866,1.5492075393568157,5.438,3.1777595881375293,0.1812666666666667,0.1059253196045843,1000,0.866,1.5492075393568157,1.606,2.062707928912865,0.45988666666666667,0.35
nan,-2.247102,0.9011825573078965,11.0968,4.450284233619242,2.438004948820715,0.48921011456466285,2.438004948820715,0.48921011456466285,0.40385333333333334,6.183194666666666,2.5952916297571655,6.183194666666666,2.5952916297571655,34.252,27.22167695054807,34.252,27.22167695054807,1.234,1.8437038807791235,6.656,3.8033753430341317,0.22186666666666668,0.12677917810113773,1000,1.234,1.8437038807791235,2.316,2.656340339640235,0.4020666666666667,0.45
nan,-3.9804160000000004,1.3858234328167496,13.1584,4.581234488650412,2.2774946029446976,0.45896465635165923,2.2774946029446976,0.45896465635165923,0.3457233333333333,5.397630222222222,2.339454067360393,5.397630222222222,2.339454067360393,28.2848,24.14961053433367,28.2848,24.14961053433367,1.67,2.132861927082951,8.26,4.5891611433899335,0.2753333333333333,0.15297203811299778,1000,1.67,2.132861927082951,3.16,2.8793054718108673,0.34373333333333334,0.55
nan,-6.475742,1.9266064931469529,15.3272,4.560015368395154,2.1145001388012656,0.3962673714502546,2.1145001388012656,0.3962673714502546,0.28352333333333335,4.6281386666666675,1.921780036007307,4.6281386666666675,1.921780036007307,22.008,20.05197087570197,22.008,20.05197087570197,2.818,2.785116873669757,10.364,5.263031825858552,0.3454666666666667,0.17543439419528506,1000,2.818,2.785116873669757,4.764,3.5978193395444413,0.28163666666666665,0.65
nan,-9.7353,2.458892567803644,17.3072,4.3713645649842565,1.9949458263956876,0.32922811202329927,1.9949458263956876,0.32922811202329927,0.23301333333333332,4.0882,1.4861653968070534,4.0882,1.4861653968070534,18.532,16.34155977867474,18.532,16.34155977867474,3.156,2.900286882361812,12.018,5.404597672352679,0.4006,0.18015325574508928,1000,3.156,2.900286882361812,5.37,3.563299033199431,0.23121333333333333,0.75
nan,-13.802928999999997,2.9528161013613765,19.1044,4.086942700846196,1.8921077918455889,0.277905047000447,1.8921077918455889,0.277905047000447,0.19286,3.6573031111111116,1.2067241950171146,3.6573031111111116,1.2067241950171146,14.6752,13.330990396815984,14.6752,13.330990396815984,3.946,3.0657925565830446,13.672,5.309276410208834,0.4557333333333333,0.17697588034029446,1000,3.946,3.0657925565830446,6.56,3.63240966852584,0.19082666666666667,0.85
nan,-18.790411,3.2419910253699036,20.8204,3.592233823124547,1.8060278663730573,0.2236430968594186,1.8060278663730573,0.2236430968594186,0.15992,3.311752888888889,0.9385070702774646,3.311752888888889,0.9385070702774646,12.0592,10.879324214306697,12.0592,10.879324214306697,4.852,2.9990158385710473,15.774,5.2171758643925354,0.5257999999999999,0.17390586214641784,1000,4.852,2.9990158385710473,7.478,3.427756700817606,0.15805,0.95
nan,-24.389505000000003,3.510993603308756,22.122,3.18457469687869,1.7491404390022203,0.16998611767634147,1.7491404390022203,0.16998611767634147,0.13054,3.0883875555555553,0.6640897511283982,3.0883875555555553,0.6640897511283982,10.7064,8.889825591090075,10.7064,8.889825591090075,5.584,2.9784130002402285,17.258,4.536897177587343,0.5752666666666667,0.1512299059195781,1000,5.584,2.9784130002402285,8.564,3.3373498468095906,0.1287,1.05
