temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,0.0,pivot,99804,67245,66653,0.673771,1.000000,0.667839,66653,0.667839
0,0.0,crankshaft,100347,54558,54558,0.543693,1.000000,0.543693,54558,0.543693
0,0.0,end,99849,63058,63058,0.631534,1.000000,0.631534,63058,0.631534
1,0.2,pivot,99594,64164,56341,0.644256,0.886046,0.565707,63587,0.638462
1,0.2,crankshaft,100361,49769,46445,0.495900,0.933211,0.462779,49769,0.495900
1,0.2,end,100045,61251,57918,0.612234,0.945585,0.578919,61251,0.612234
2,0.35,pivot,100208,60992,46134,0.608654,0.763290,0.460382,60441,0.603155
2,0.35,crankshaft,99890,44471,38475,0.445200,0.865171,0.385174,44471,0.445200
2,0.35,end,99902,59601,53116,0.596595,0.891193,0.531681,59601,0.596595
3,0.45,pivot,100338,58389,38672,0.581923,0.668857,0.385417,57818,0.576232
3,0.45,crankshaft,99923,41152,33288,0.411837,0.808904,0.333137,41152,0.411837
3,0.45,end,99739,57984,49072,0.581357,0.846302,0.492004,57984,0.581357
4,0.55,pivot,99551,55099,30303,0.553475,0.555743,0.304397,54527,0.547729
4,0.55,crankshaft,100660,37356,27713,0.371111,0.741862,0.275313,37356,0.371111
4,0.55,end,99789,56008,44565,0.561264,0.795690,0.446592,56008,0.561264
5,0.65,pivot,99861,52208,23274,0.522807,0.450942,0.233064,51612,0.516838
5,0.65,crankshaft,99871,33321,22466,0.333640,0.674229,0.224950,33321,0.333640
5,0.65,end,100268,54125,39924,0.539803,0.737626,0.398173,54125,0.539803
6,0.75,pivot,100182,49889,17296,0.497984,0.350597,0.172646,49333,0.492434
6,0.75,crankshaft,99774,29748,17911,0.298154,0.602091,0.179516,29748,0.298154
6,0.75,end,100044,51348,34708,0.513254,0.675937,0.346927,51348,0.513254
7,0.85,pivot,99764,47349,13095,0.474610,0.279999,0.131260,46768,0.468786
7,0.85,crankshaft,100485,26800,14319,0.266706,0.534291,0.142499,26800,0.266706
7,0.85,end,99751,49542,30565,0.496657,0.616951,0.306413,49542,0.496657
8,0.95,pivot,99894,45750,10009,0.457985,0.221615,0.100196,45164,0.452119
8,0.95,crankshaft,99943,23914,11628,0.239276,0.486242,0.116346,23914,0.239276
8,0.95,end,100163,48024,26518,0.479458,0.552182,0.264748,48024,0.479458
9,1.05,pivot,99739,44467,7579,0.445834,0.172780,0.075988,43865,0.439798
9,1.05,crankshaft,99834,21461,9225,0.214967,0.429849,0.092403,21461,0.214967
9,1.05,end,100427,46293,23075,0.460962,0.498455,0.229769,46293,0.460962
