walker,fraction_visited,occupancy_T0,occupancy_T1,occupancy_T2,occupancy_T3,occupancy_T4,occupancy_T5,occupancy_T6,occupancy_T7,occupancy_T8,occupancy_T9
0,1.0,550,536,520,522,486,494,492,496,446,458
1,1.0,624,599,601,553,517,493,443,414,382,374
2,1.0,412,446,448,465,471,477,505,558,616,602
3,1.0,458,502,532,561,537,527,511,481,465,426
4,1.0,522,498,520,477,499,508,510,474,478,514
5,1.0,422,454,446,486,486,502,500,536,544,624
6,1.0,534,550,576,561,529,489,497,458,442,364
7,1.0,468,473,459,471,503,507,533,530,518,538
8,1.0,594,500,464,462,472,477,485,503,529,514
9,1.0,416,442,434,442,500,526,524,550,580,586
