walker,fraction_visited,n_visited,first_passage_low_to_high,first_passage_high_to_low,n_round_trips_low,n_round_trips_high,n_round_trips,mean_round_trip_duration
0,1.0,10,58,102,42,41,83,116.02409638554217
1,1.0,10,14,48,45,46,91,106.65934065934066
2,1.0,10,54,82,41,41,82,118.92682926829268
3,1.0,10,150,54,37,36,73,132.02739726027397
4,1.0,10,28,16,39,38,77,128.3116883116883
5,1.0,10,14,48,34,34,68,144.47058823529412
6,1.0,10,162,100,41,42,83,118.48192771084338
7,1.0,10,26,32,40,40,80,120.1
8,1.0,10,154,16,40,41,81,119.1604938271605
9,1.0,10,38,120,43,44,87,110.52873563218391
