pair,T_lo,T_hi,proposals,acceptances,rate,K_lo,K_hi
0,nan,nan,2500,1635,0.6540,-0.0,0.2
1,nan,nan,2500,1744,0.6976,0.2,0.35
2,nan,nan,2500,1914,0.7656,0.35,0.45
3,nan,nan,2500,1823,0.7292,0.45,0.55
4,nan,nan,2500,1828,0.7312,0.55,0.65
5,nan,nan,2500,1869,0.7476,0.65,0.75
6,nan,nan,2500,1936,0.7744,0.75,0.85
7,nan,nan,2500,1959,0.7836,0.85,0.95
8,nan,nan,2500,2011,0.8044,0.95,1.05
