temperature,b_median,b_lo,b_hi,mean_contacts_median,mean_contacts_lo,mean_contacts_hi,mean_contacts_obs,mean_rg_median,mean_rg_lo,mean_rg_hi,mean_rg_obs
321.954,-0.2630248268,-0.2668561395,-0.2592809386,12.87557818,12.76996944,12.98496916,14.38153528,1.558687192,1.55423606,1.562995621,1.553313115
323.241,-0.2671947753,-0.2706637438,-0.2636356714,12.99470396,12.89292865,13.09501644,14.5871219,1.553840533,1.549770036,1.557980408,1.545547364
324.533,-0.2712822971,-0.2744557647,-0.2679567336,13.11302021,13.01664155,13.20594388,14.56646811,1.549040514,1.54528015,1.552949499,1.545569386
325.83,-0.2753934079,-0.2782148122,-0.2721224206,13.23357522,13.13752789,13.31722441,14.80466496,1.544163554,1.540787782,1.548047936,1.540475119
327.132,-0.2794359984,-0.281957013,-0.2763099191,13.35365616,13.26066547,13.4293187,14.92632904,1.53931956,1.536274399,1.543069554,1.543848623
328.44,-0.2833781665,-0.2856865841,-0.2803095532,13.47222835,13.37980481,13.54234529,15.05278513,1.534549754,1.531735374,1.538266543,1.540037024
329.753,-0.2873398546,-0.2897080557,-0.2843326684,13.59286346,13.50115817,13.66568963,15.26595992,1.529710397,1.526795453,1.53338799,1.537194892
331.071,-0.2914010882,-0.2937356206,-0.2879700153,13.71807334,13.61218908,13.79076075,15.46511396,1.524701677,1.52180056,1.528936386,1.531425373
332.394,-0.2954495897,-0.2977463426,-0.2920229345,13.84445289,13.73738401,13.91684655,15.65085737,1.519660607,1.516779425,1.523930476,1.524461999
333.723,-0.2994749798,-0.3017833684,-0.2961565486,13.97166324,13.86668439,14.04531369,15.79094471,1.514600866,1.511678017,1.518775339,1.516129796
335.057,-0.3035054558,-0.3058432178,-0.2999254467,14.10058948,13.98599876,14.17608363,15.88181106,1.509487497,1.506500065,1.514031609,1.51397277
336.396,-0.3074432024,-0.3098599519,-0.303680324,14.22805481,14.10622259,14.30702288,15.95942996,1.504446351,1.501330276,1.509264453,1.51069527
337.741,-0.3113616795,-0.3137907845,-0.3074248005,14.35637501,14.22746066,14.43666264,16.19126879,1.499385558,1.496226256,1.504469864,1.503174788
339.091,-0.3153102246,-0.3178226369,-0.3111533263,14.48717166,14.34952053,14.57117497,16.29346586,1.494241529,1.490945404,1.499655589,1.499719398
340.446,-0.3193304321,-0.3218372686,-0.3148659269,14.62187935,14.4723859,14.70666058,16.48523066,1.488958716,1.485641584,1.494822368,1.495316458
341.807,-0.3233089034,-0.3258376357,-0.318565336,14.75671145,14.59613043,14.8431966,16.6913559,1.483686085,1.480311907,1.489967407,1.49034144
343.173,-0.32734197,-0.3298207938,-0.3222488309,14.89493523,14.72064513,14.98065824,16.85042336,1.478296252,1.474961363,1.485095077,1.479209222
344.545,-0.3312625782,-0.3337896554,-0.3259191048,15.03078587,14.84600195,15.11912006,17.10830252,1.473013968,1.469587154,1.480202649,1.470772232
345.922,-0.3350961989,-0.3377413258,-0.3295734809,15.16502613,14.97208925,15.25845347,17.15169268,1.467808717,1.464194364,1.475294557,1.467413153
347.305,-0.3389451663,-0.3416786745,-0.3332146126,15.30119053,15.0989772,15.39873037,17.19845148,1.462543297,1.458780291,1.470368137,1.470752308
348.693,-0.3428371596,-0.3455988554,-0.3368398682,15.44027739,15.22655156,15.53981846,17.36596829,1.457179661,1.453350107,1.465427884,1.465343397
350.086,-0.3466323234,-0.3495749478,-0.3404492812,15.57724781,15.35478853,15.68435307,17.64202612,1.451912061,1.447802848,1.460474755,1.458602162
351.486,-0.350372013,-0.3534837749,-0.3440480064,15.71350067,15.48384777,15.82783276,17.5908983,1.446686062,1.442311439,1.455502635,1.459673787
352.891,-0.3540677942,-0.3573571044,-0.3475514751,15.84938872,15.61063205,15.97134968,17.76414514,1.44148775,1.436833691,1.450630462,1.454201304
354.301,-0.3577987015,-0.3612133339,-0.3509768239,15.98779658,15.73566641,16.11553715,17.84999087,1.436206909,1.431345319,1.445837323,1.451569942
355.717,-0.361617698,-0.3650552068,-0.35438942,16.13073099,15.86128261,16.26045884,17.9561861,1.430767842,1.425843895,1.441033521,1.447881959
357.139,-0.3654213681,-0.3688826999,-0.3577892433,16.27433707,15.98745475,16.40607479,17.98555512,1.425317843,1.420330933,1.436220055,1.447445037
358.567,-0.3690757048,-0.3726957924,-0.3611762749,16.41345049,16.11415603,16.55234356,17.92919177,1.420052091,1.414807982,1.431397943,1.447945345
360,-0.372736655,-0.3764918265,-0.3645481542,16.55391776,16.24127014,16.69911988,18.00590271,1.414748626,1.40928048,1.426571592,1.448561944
