baseline,model_a,model_b,n_paired,mean_delta,median_delta,std_delta,se_delta,ci_low,ci_high,p_sign_flip,p_holm,p_method,effect_size_dz,effect_size_reliable,frac_a_won,frac_b_won,frac_tie,prob_a_better,prob_practical_equivalent,favored
final_joint_baseline_44mer,hs,hs_quadratic,10,0.0006683310713376051,0.0005010032326612443,0.0011087488744844617,0.00035061717965190474,1.7634394765957236e-05,0.0012953403938490507,0.08203125,0.57421875,exact_sign_flip,0.6027794811952896,True,0.2,0.8,0.0,0.0216,0.8352,hs_quadratic
final_joint_baseline_44mer,hs,poly2,10,0.0009013545032934056,0.0008383243554449665,0.0010378598591473565,0.0003282001046967186,0.0003087255944443768,0.0015187626323027565,0.033203125,0.265625,exact_sign_flip,0.8684741926852287,True,0.3,0.7,0.0,0.0012,0.6124,poly2
final_joint_baseline_44mer,hs,poly3,10,0.001007102808480996,0.0008271479897182521,0.0008992898294152285,0.000284380413757641,0.0005249098712337265,0.00157428563006222,0.00390625,0.03515625,exact_sign_flip,1.1198867990488384,True,0.1,0.9,0.0,0.0,0.5072,poly3
final_joint_baseline_44mer,hs,heat_capacity,10,0.0010030234401434608,0.0006312273178894004,0.0009395423455621796,0.000297109377015348,0.0005424309794744925,0.0016375791390233847,0.001953125,0.01953125,exact_sign_flip,1.0675659749463415,True,0.0,1.0,0.0,0.0,0.5264,heat_capacity
final_joint_baseline_44mer,hs_quadratic,poly2,10,0.00023302343195580056,0.00018839663802423107,0.0007474663086228466,0.0002363696009486551,-0.00017009377729577317,0.0007054063609447478,0.380859375,1.0,exact_sign_flip,0.31175108398548373,True,0.4,0.6,0.0,0.1455,0.9992,poly2
final_joint_baseline_44mer,hs_quadratic,poly3,10,0.000338771737143391,0.0004471184140711834,0.0008755630421628481,0.0002768773448300639,-0.0001736580293648403,0.0008592087614548355,0.24609375,1.0,exact_sign_flip,0.3869187263849609,True,0.4,0.6,0.0,0.1034,0.9942,poly3
final_joint_baseline_44mer,hs_quadratic,heat_capacity,10,0.00033469236880585563,0.00041084466106770107,0.0009901099238675696,0.000313100249335743,-0.00026843258460018904,0.0008962538592856852,0.298828125,1.0,exact_sign_flip,0.3380355662919523,True,0.3,0.7,0.0,0.1342,0.9913,heat_capacity
final_joint_baseline_44mer,poly2,poly3,10,0.00010574830518759043,-0.0001290348104636338,0.00088833450639922,0.00028091603643429577,-0.00042614928847004095,0.000620807126689613,0.701171875,1.0,exact_sign_flip,0.11904108691694437,True,0.5,0.5,0.0,0.3537,0.9999,poly3
final_joint_baseline_44mer,poly2,heat_capacity,10,0.00010166893685005507,0.0002295310673841311,0.000862258708658365,0.0002726701451675983,-0.0004391530172639878,0.0005921956246664341,0.701171875,1.0,exact_sign_flip,0.11791001451089693,True,0.3,0.7,0.0,0.3413,1.0,heat_capacity
final_joint_baseline_44mer,poly3,heat_capacity,10,-4.0793683375353605e-06,0.00010678729835572609,0.0011497943979895142,0.0003635969138548991,-0.0007381415535252091,0.0006323183313107365,0.998046875,1.0,exact_sign_flip,-0.0035479111262573426,True,0.4,0.6,0.0,0.4861,0.996,poly3
