baseline,model,seed,temperature_index,temperature,split,target_vs_fit_contact_js,target_vs_remd_contact_js,fit_vs_remd_contact_js,target_vs_fit_rg_js,target_vs_remd_rg_js,fit_vs_remd_rg_js,target_mean_contacts,fit_mean_contacts,remd_mean_contacts,target_mean_rg,fit_mean_rg,remd_mean_rg
final_joint_baseline_44mer,hs,1,0,280.0,train,0.062090813433788056,0.08549611591508251,0.0070771619053926135,0.016931225796636543,0.025578398989916956,0.010212779313016087,8.984389264195727,9.225096178084602,9.318000000000001,1.7330192887155929,1.7145363817574557,1.7064359292546458
final_joint_baseline_44mer,hs,1,1,281.119,train,0.059080395418248915,0.06675861790352348,0.004278956626141431,0.016575632719088657,0.021685586900295657,0.009419934650286316,9.245772472764894,9.32340239600168,9.257333333333332,1.7254357146970922,1.710083653443943,1.7289741310661904
final_joint_baseline_44mer,hs,1,2,282.243,train,0.06321644095505119,0.06700142616242334,0.0014059385824632788,0.017449298907112797,0.02045462597017554,0.008076639311978828,9.307776459132127,9.422876169398691,9.335333333333335,1.7239583652442858,1.7055913989849256,1.7205899881554427
final_joint_baseline_44mer,hs,1,3,283.371,train,0.06561963183327768,0.06975714839313843,0.0030087115368909595,0.016482937929952615,0.020546594502564387,0.007332102170604097,9.5004241220863,9.523442130784534,9.578666666666667,1.7181079388731155,1.701063464293021,1.698199567718798
final_joint_baseline_44mer,hs,1,4,284.504,train,0.06583128892832611,0.07322315743159633,0.0030430644688508057,0.01570741402589568,0.022107704948774298,0.010186870165104205,9.659105501795388,9.62520255348112,9.690000000000001,1.7148231530757665,1.696495695678403,1.6858465717477507
final_joint_baseline_44mer,hs,1,5,285.641,train,0.064248791224271,0.06566507066459412,0.0038181236169714337,0.015150103746441695,0.026434076642412555,0.010489937865449103,9.834191086969753,9.72808069720752,9.652666666666665,1.70995073357408,1.6918919973426858,1.6918062606980702
final_joint_baseline_44mer,hs,1,6,286.783,train,0.06774474512679304,0.06609716472033127,0.002289518370049283,0.015446969328101978,0.023070880055698705,0.009072820978036075,10.003320324386829,9.832180056240741,9.758666666666667,1.700945718091396,1.6872482062966678,1.6934001426856584
final_joint_baseline_44mer,hs,1,7,287.929,train,0.06958311316628384,0.06816315693497539,0.0026447884641863737,0.015282064259753043,0.015161090559801499,0.00758364540841237,10.215862546406182,9.937422389661705,9.723333333333333,1.6943485754338155,1.682568289378287,1.68767768884737
final_joint_baseline_44mer,hs,1,8,289.08,train,0.0744137364642203,0.09002168329673252,0.005330049189405326,0.015368957027929994,0.020789153476671665,0.008569111029017008,10.399694936400707,10.043912325324627,10.168666666666667,1.6849675212879243,1.6778480791729704,1.674522468754306
final_joint_baseline_44mer,hs,1,9,290.235,train,0.0737524201610635,0.08469687273290044,0.007561257606432507,0.014998798405816216,0.018624291026528704,0.007337438925992004,10.524419922707079,10.151569976434864,10.193333333333335,1.681340394793113,1.6730916099522928,1.6767956032513949
final_joint_baseline_44mer,hs,1,10,291.395,train,0.07167252433492974,0.07354800731944228,0.005067689704228339,0.01558565485469663,0.02150472352668939,0.008061742473593711,10.66035238269125,10.260500996301994,10.136000000000001,1.6777821959555088,1.6682947154089174,1.6571628251109392
final_joint_baseline_44mer,hs,1,11,292.56,train,0.07285258250190091,0.07980924376506145,0.004268787638540798,0.015693659827359718,0.02448338271408009,0.00882934486166302,10.742928001947536,10.370718647612104,10.465333333333334,1.6731364718597481,1.663457341803712,1.6637948440878274
final_joint_baseline_44mer,hs,1,12,293.729,train,0.07185183005927237,0.08501420375496876,0.0028984995862686934,0.01576139101357918,0.02251738812227178,0.00782344536772201,10.807456941147832,10.48214026799837,10.532666666666668,1.6738479584546968,1.6585836347593932,1.6543381552584222
final_joint_baseline_44mer,hs,1,13,294.903,train,0.07106778706678121,0.08330744414234276,0.004296095704569047,0.015986027610984745,0.02404957380212895,0.009193408288721026,10.913218154707565,10.594872802899417,10.497333333333335,1.6724701711734125,1.653669441740782,1.6614633148840268
final_joint_baseline_44mer,hs,1,14,296.082,train,0.07472570039348256,0.0766802014973138,0.0046836431893930025,0.01785878092705153,0.02668836338517115,0.009155687499361352,11.137181242772805,10.708928592679532,10.596,1.665708368001392,1.648714779236065,1.6592548256732669
final_joint_baseline_44mer,hs,1,15,297.266,train,0.07426716487541543,0.07580892521438119,0.005048903730033747,0.017408124545326403,0.021349165028989127,0.007202944890089469,11.28130401375449,10.824319576979889,10.745333333333331,1.6584518174231966,1.6437196908403813,1.6464151944928327
final_joint_baseline_44mer,hs,1,16,298.454,train,0.07463676571563226,0.09498605543757935,0.004965223060111522,0.015119295816806672,0.02387896526440076,0.007652397023341202,11.462236397662954,10.940958696563625,11.002666666666666,1.653061674629598,1.638688492226517,1.6431512705899078
final_joint_baseline_44mer,hs,1,17,299.647,train,0.07512865171375507,0.07537380435899571,0.005326640826079018,0.01572251036214667,0.02298666356300779,0.00787446286793356,11.609464579149169,11.058954011009074,11.058666666666666,1.6439808387239871,1.6336170757426767,1.6335782342553904
final_joint_baseline_44mer,hs,1,18,300.845,train,0.0790519595291542,0.08976888643903064,0.0029878583356610228,0.015454030879344473,0.01970097310175365,0.009364870745228479,11.843582253058244,11.178315908274588,11.193999999999999,1.6384022936673557,1.628505577426884,1.6274083323682567
final_joint_baseline_44mer,hs,1,19,302.047,train,0.08093427283657682,0.08877844291839639,0.004457904387524298,0.015870541189328916,0.02324451667757696,0.008028840964266854,12.03045767147465,11.298953409218882,11.204666666666666,1.6302856790997862,1.6233584582384497,1.617772765595279
final_joint_baseline_44mer,hs,1,20,303.254,train,0.08314634412146733,0.08735156858817242,0.004743939561637652,0.015776582561894334,0.020310847637711932,0.00657312294629531,12.269134182338263,11.420974824127715,11.446666666666667,1.6206763978222538,1.6181716669742907,1.612252440958539
final_joint_baseline_44mer,hs,1,21,304.467,train,0.0818801360103697,0.08828150637992901,0.003780076565598986,0.01404969211305149,0.01940894498805699,0.007937446860587281,12.378670272655349,11.544490611282608,11.398666666666667,1.611008910967524,1.6129411314923883,1.6092720137346834
final_joint_baseline_44mer,hs,1,22,305.683,train,0.0848641477085035,0.08404671073137956,0.0042879775823509774,0.014306568058675233,0.016554877581842868,0.006704753029025685,12.575666042845839,11.669201611159398,11.911333333333333,1.6024266517823778,1.607680098855876,1.6030926593298196
final_joint_baseline_44mer,hs,1,23,306.905,train,0.08291919809774506,0.09161783570291565,0.0036615114967797507,0.013589996916871853,0.019260003767276455,0.008598562838101138,12.589017710425416,11.795420892718626,11.836000000000002,1.6065431646433592,1.6023759442407945,1.6062133753639722
final_joint_baseline_44mer,hs,1,24,308.132,train,0.07744844201558268,0.08236831419266616,0.0035410144257108215,0.014004070038236317,0.01915911937221203,0.007671112174428958,12.680625798794962,11.923051750034325,12.076,1.6048980912246824,1.597033366751441,1.5851332143777883
final_joint_baseline_44mer,hs,1,25,309.364,train,0.07854380886592,0.08611483636121131,0.006287716901555189,0.014312325011734458,0.018888715000579273,0.008318753988959128,12.839442212890269,12.052098581385199,12.131333333333334,1.602065164513469,1.5916527950991388,1.5891075482646353
