baseline,model,bootstrap_enabled,boot_requested_replicates,boot_successful_replicates,boot_failed_replicates,boot_confidence,boot_widest_relative_ci,boot_max_abs_param_correlation,boot_n_identifiability_warnings,boot_max_bound_hit_fraction,boot_extra_terms_ci_include_zero,boot_status,split_enabled,split_n_attempted,split_n_succeeded,split_mean_heldout_loss,split_range_heldout_loss,split_worst_blocked_low,split_worst_blocked_mid,split_worst_blocked_high,split_max_param_cv,split_boundary_warnings,split_stability_status,rgw_enabled,rgw_tested_weights,rgw_production_weight,rgw_pareto_weights,rgw_knee_weight,rgw_contact_loss_range,rgw_rg_loss_range,rgw_weight_sensitive,rgw_status,unc_enabled,unc_restart_objective_spread,unc_n_distinct_minima,unc_condition_number,unc_positive_definite,unc_identifiability_status,bootstrap_source,split_source,rg_weight_source,uncertainty_source
final_joint_baseline_44mer,hs,True,200,200,0,0.95,0.12573997559931777,0.9981583970741942,1,0.0,,warn,True,16,16,0.05597728700560721,0.004275424238193042,0.05549025840817314,0.05849263391614075,0.055984746001960475,0.04729194565722287,0,stable,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.001613651027780029,0.0023074502239127034,False,stable,True,2.000000165480742e-09,1,20088554.7872544,True,ok,bootstrap_summary.json,split_sensitivity_summary.json,rg_weight_summary.json,uncertainty_diagnostics.json
final_joint_baseline_44mer,hs_quadratic,True,200,200,0,0.95,0.14074530754440004,0.9955445539128951,1,0.0,,warn,True,16,16,0.05464291265973189,0.006764150885330729,0.050693653381488395,0.05717133423868863,0.0509566672737974,0.0866906601213199,0,stable,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.0017343840877749456,0.0024910503601738004,False,stable,True,1.000000082740371e-09,1,22892339.988838647,True,ok,bootstrap_summary.json,split_sensitivity_summary.json,rg_weight_summary.json,uncertainty_diagnostics.json
final_joint_baseline_44mer,poly2,True,200,200,0,0.95,0.11581944643465752,0.6671443322687148,0,0.0,,ok,True,16,16,0.05467119383789092,0.006666587527670506,0.05079752544652078,0.05717466263604935,0.05119173101430832,0.0691739842683356,0,stable,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.0017352623654940391,0.0024926936057836427,False,stable,True,49.532698779,2,186.89004840373653,True,warn,bootstrap_summary.json,split_sensitivity_summary.json,rg_weight_summary.json,uncertainty_diagnostics.json
final_joint_baseline_44mer,poly3,True,200,200,0,0.95,0.7584148260401606,0.949525706577243,1,0.0,,warn,True,16,16,0.054581967225019054,0.007123573815914941,0.0503089396491159,0.05716951092755245,0.050774162966909925,0.22976513213634484,0,moderate,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.0017264899464813147,0.002477138335228668,False,stable,True,49.534899335,2,2901.09639648801,True,warn,bootstrap_summary.json,split_sensitivity_summary.json,rg_weight_summary.json,uncertainty_diagnostics.json
final_joint_baseline_44mer,heat_capacity,True,200,200,0,0.95,0.11447763530133949,0.993755704912348,1,0.0,,warn,True,16,16,0.05456409950499245,0.007164590949721314,0.05042181112861535,0.05716349705348551,0.05027538139155302,0.051751008459716044,0,stable,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.0017315781565084912,0.0024839521869731707,False,stable,True,49.534536535,4,21767132.56169735,True,warn,bootstrap_summary.json,split_sensitivity_summary.json,rg_weight_summary.json,uncertainty_diagnostics.json
