baseline,model,n_parameters,n_seeds,mean_rank,median_rank,std_rank,prob_rank1,n_seed_wins,mean_score,seed_ranks
final_joint_baseline_44mer,hs,2,10,4.4,4.5,0.66332495807108,0.0,0,0.08843096483461937,1:5;2:4;3:4;4:3;5:5;6:5;7:5;8:4;9:5;10:4
final_joint_baseline_44mer,hs_quadratic,3,10,3.1,3.0,1.1357816691600549,0.0051,0,0.08776263376328178,1:2;2:2;3:3;4:5;5:3;6:3;7:2;8:5;9:4;10:2
final_joint_baseline_44mer,poly2,3,10,2.9,3.0,1.374772708486752,0.1347,2,0.08752961033132597,1:3;2:5;3:5;4:4;5:2;6:2;7:1;8:3;9:1;10:3
final_joint_baseline_44mer,poly3,4,10,2.6,2.5,1.4966629547095764,0.4255,4,0.08742386202613836,1:1;2:1;3:1;4:1;5:4;6:4;7:4;8:2;9:3;10:5
final_joint_baseline_44mer,heat_capacity,3,10,2.0,2.0,1.0,0.4347,4,0.0874279413944759,1:4;2:3;3:2;4:2;5:1;6:1;7:3;8:1;9:2;10:1
