baseline,model,n_parameters,n_successful_seeds,n_failed_seeds,fit_train_contact_loss,fit_validation_contact_loss,fit_all_contact_loss,fit_train_rg_loss,fit_validation_rg_loss,fit_all_rg_loss,fit_optimization_objective,remd_target_train_contact_js_mean,remd_target_train_contact_js_std,remd_target_validation_contact_js_mean,remd_target_validation_contact_js_std,remd_target_all_contact_js_mean,remd_target_all_contact_js_std,remd_target_validation_rg_js_mean,remd_target_validation_rg_js_std,remd_target_all_rg_js_mean,remd_target_all_rg_js_std,remd_target_validation_combined_js_mean,remd_target_validation_combined_js_std,remd_target_all_combined_js_mean,remd_target_all_combined_js_std,remd_fit_contact_js_mean,remd_fit_rg_js_mean,mean_contacts_rmse_mean,mean_contacts_rmse_std,mean_contacts_mae_mean,mean_rg_rmse_mean,mean_rg_rmse_std,mean_rg_mae_mean,swap_rate_min_mean,swap_rate_median_mean,local_acceptance_mean,diag_n_seeds,diag_min_ess_contacts,diag_median_ess_contacts,diag_total_ess_contacts,diag_min_ess_rg,diag_max_autocorr_contacts,diag_max_autocorr_rg,diag_total_round_trips,diag_min_round_trips_total,diag_min_round_trips_per_walker,diag_min_temp_coverage,diag_max_drift_contacts,diag_seed_mean_contacts_dispersion,diag_seed_mean_rg_dispersion,diag_max_rhat_contacts,diag_max_rhat_rg,convergence_status,convergence_flags,bootstrap_enabled,boot_requested_replicates,boot_successful_replicates,boot_failed_replicates,boot_confidence,boot_widest_relative_ci,boot_max_abs_param_correlation,boot_n_identifiability_warnings,boot_max_bound_hit_fraction,boot_extra_terms_ci_include_zero,boot_status,split_enabled,split_n_attempted,split_n_succeeded,split_mean_heldout_loss,split_range_heldout_loss,split_worst_blocked_low,split_worst_blocked_mid,split_worst_blocked_high,split_max_param_cv,split_boundary_warnings,split_stability_status,rgw_enabled,rgw_tested_weights,rgw_production_weight,rgw_pareto_weights,rgw_knee_weight,rgw_contact_loss_range,rgw_rg_loss_range,rgw_weight_sensitive,rgw_status,unc_enabled,unc_restart_objective_spread,unc_n_distinct_minima,unc_condition_number,unc_positive_definite,unc_identifiability_status,has_validation,fit_rank,simulation_rank,simulation_rank_note,fit_status,status
final_joint_baseline_44mer,hs,2,10,0,3.2464464931931603,,3.2464464931931603,0.6298179291521199,,0.6298179291521199,3.5613554577692206,0.07712666408092515,0.0006921244690147277,,,0.07712666408092515,0.0006921244690147277,,,0.022608601507388432,0.0005092557369918958,,,0.08843096483461937,0.0007639462524249361,0.004977575463016852,0.008387826430979645,0.769438808587913,0.015916763048342213,0.6927607332367163,0.032557321257171756,0.0008519954920201796,0.025964546924304714,0.9786400000000001,0.9851600000000001,0.47842371156249996,10,692.7484121985574,1447.9600798625615,902205.9429623847,829.1174697657764,2.1652882541289262,1.809152568481938,12268.0,1204.0,12.0,1.0,0.19544015273229157,0.12031996723630782,0.0076818709793887155,1.000463853842892,1.000381467343131,reliable,,True,200,200,0,0.95,0.12573997559931777,0.9981583970741942,1,0.0,,warn,True,16,16,0.05597728700560721,0.004275424238193042,0.05549025840817314,0.05849263391614075,0.055984746001960475,0.04729194565722287,0,stable,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.001613651027780029,0.0023074502239127034,False,stable,True,2.000000165480742e-09,1,20088554.7872544,True,ok,False,5,5,,ok,ok
final_joint_baseline_44mer,hs_quadratic,3,10,0,3.2033995803789246,,3.2033995803789246,0.6232425587279249,,0.6232425587279249,3.5150208597428882,0.07653305824213848,0.000546719818940775,,,0.07653305824213848,0.000546719818940775,,,0.022459151042286567,0.0002901468439333574,,,0.08776263376328178,0.0004469248431871794,0.00487402496534079,0.008314145597853073,0.7247770838210679,0.010485721664613432,0.6615931310289991,0.03380286775865474,0.0006511710918673134,0.02871195796677233,0.97532,0.98424,0.47832315562500005,10,859.0466928690414,1452.5850197393333,907732.6479446914,892.7100764069634,1.7461216164982893,1.6802767658199804,12275.0,1206.0,12.0,1.0,0.1501148535215007,0.12543118345953713,0.007947966668228907,1.0006758754994023,1.0007666092586769,reliable,,True,200,200,0,0.95,0.14074530754440004,0.9955445539128951,1,0.0,,warn,True,16,16,0.05464291265973189,0.006764150885330729,0.050693653381488395,0.05717133423868863,0.0509566672737974,0.0866906601213199,0,stable,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.0017343840877749456,0.0024910503601738004,False,stable,True,1.000000082740371e-09,1,22892339.988838647,True,ok,False,3,4,within ~1e-3 of rank-1 with fewer parameters (3 vs 4); consider preferring on parsimony,ok,ok
final_joint_baseline_44mer,poly2,3,10,0,3.2037735078667757,,3.2037735078667757,0.6234294865331832,,0.6234294865331832,3.515488251133368,0.07644835460495132,0.0004943059719466265,,,0.07644835460495132,0.0004943059719466265,,,0.02216251145274927,0.0005328728228963263,,,0.08752961033132597,0.0005206226708795118,0.004899160053653037,0.00817248985907417,0.7260611901641297,0.012543070223603027,0.6602380700448077,0.03376210892289834,0.0007406866803330691,0.02831537901414526,0.9746400000000002,0.98428,0.47833838125000006,10,906.4525695703225,1456.4530187397809,909502.1818436586,959.2997579945476,1.6548025239875832,1.5636405487433946,12364.0,1202.0,12.0,1.0,0.17527936852086035,0.12412103444776222,0.007764649437256702,1.0005234585464406,1.0007182004092046,reliable,,True,200,200,0,0.95,0.11581944643465752,0.6671443322687148,0,0.0,,ok,True,16,16,0.05467119383789092,0.006666587527670506,0.05079752544652078,0.05717466263604935,0.05119173101430832,0.0691739842683356,0,stable,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.0017352623654940391,0.0024926936057836427,False,stable,True,49.532698779,2,186.89004840373653,True,warn,False,4,3,within ~1e-3 of rank-1 with fewer parameters (3 vs 4); consider preferring on parsimony,ok,ok
final_joint_baseline_44mer,poly3,4,10,0,3.202024258034677,,3.202024258034677,0.6224378739646813,,0.6224378739646813,3.513243195017018,0.07628828644814711,0.0007282194726100382,,,0.07628828644814711,0.0007282194726100382,,,0.02227115115598253,0.00034379437781153067,,,0.08742386202613836,0.00069427478213679,0.004834938946485434,0.008221939433052725,0.7148203581891395,0.01526751431999737,0.6481912405951393,0.03406957580127085,0.0008894374100558153,0.029648239386957216,0.97288,0.9846400000000001,0.47826168812500003,10,749.7259996098525,1448.527515220504,901691.959815956,960.758302131949,2.000730934742266,1.5612667584255675,11932.0,1167.0,12.0,1.0,0.17482385966729921,0.1196887821093256,0.0075538130168557975,1.000749055225182,1.0005983932519595,reliable,,True,200,200,0,0.95,0.7584148260401606,0.949525706577243,1,0.0,,warn,True,16,16,0.054581967225019054,0.007123573815914941,0.0503089396491159,0.05716951092755245,0.050774162966909925,0.22976513213634484,0,moderate,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.0017264899464813147,0.002477138335228668,False,stable,True,49.534899335,2,2901.09639648801,True,warn,False,1,1,,ok,ok
final_joint_baseline_44mer,heat_capacity,3,10,0,3.202366671739644,,3.202366671739644,0.622785427128555,,0.622785427128555,3.513759385303921,0.07615639014865268,0.0004898092739347152,,,0.07615639014865268,0.0004898092739347152,,,0.02254310249164648,0.0004621288798491619,,,0.0874279413944759,0.0005942919409174075,0.004878521137715011,0.008301899043209986,0.7301601194248755,0.01346575699861246,0.6624452143623325,0.033419721469772894,0.0011642851503726208,0.028716493027559936,0.97384,0.9846800000000002,0.47831557093750005,10,842.0815757867881,1451.793383064975,907617.5034382857,909.5016184337129,1.7813001057510305,1.649254899164673,12249.0,1177.0,12.0,1.0,0.1925584208613636,0.12546010655164067,0.007568307159655148,1.0009954244044392,1.0005341830045902,reliable,,True,200,200,0,0.95,0.11447763530133949,0.993755704912348,1,0.0,,warn,True,16,16,0.05456409950499245,0.007164590949721314,0.05042181112861535,0.05716349705348551,0.05027538139155302,0.051751008459716044,0,stable,True,0;0.1;0.25;0.5;1;2;4,0.5,0;0.1;0.25;0.5;1;2;4,0.5,0.0017315781565084912,0.0024839521869731707,False,stable,True,49.534536535,4,21767132.56169735,True,warn,False,2,2,within ~1e-3 of rank-1 with fewer parameters (3 vs 4); consider preferring on parsimony,ok,ok
