walker,fraction_visited,n_visited,first_passage_low_to_high,first_passage_high_to_low,n_round_trips_low,n_round_trips_high,n_round_trips,mean_round_trip_duration
0,1.0,17,23,153,44,43,87,112.73563218390805
1,1.0,17,17,17,40,40,80,121.7
2,1.0,17,117,25,40,41,81,122.04938271604938
3,1.0,17,97,17,47,47,94,103.0
4,1.0,17,35,53,48,48,96,101.5625
5,1.0,17,29,57,41,41,82,118.90243902439025
6,1.0,17,21,27,43,43,86,114.30232558139535
7,1.0,17,69,101,42,42,84,117.38095238095238
8,1.0,17,35,29,43,43,86,115.16279069767442
9,1.0,17,59,17,41,40,81,120.39506172839506
10,1.0,17,29,51,47,47,94,105.04255319148936
11,1.0,17,163,23,43,44,87,112.04597701149426
12,1.0,17,41,17,46,47,93,106.04301075268818
13,1.0,17,63,25,44,43,87,113.70114942528735
14,1.0,17,65,39,39,40,79,122.9367088607595
15,1.0,17,81,67,45,45,90,108.26666666666667
16,1.0,17,59,76,46,47,93,105.70967741935483
