T,E_mean,E_std,C_mean,C_std,Rg_mean,Rg_std,Rg_mean_lattice,Rg_std_lattice,local_acc_rate,Rg2_mean,Rg2_std,Rg2_mean_lattice,Rg2_std_lattice,Ree2_mean,Ree2_std,Ree2_mean_lattice,Ree2_std_lattice,m_long_mean,m_long_std,Smax_mean,Smax_std,largest_component_fraction_mean,largest_component_fraction_std,n_structural_samples,m_long_fixed_mean,m_long_fixed_std,m_global_scaled_mean,m_global_scaled_std,state_changing_acceptance_rate,K
nan,-0.438464,0.30314861158184453,2.7404,1.8946788223865278,3.3155736009704575,0.5844352705276151,3.3155736009704575,0.5844352705276151,0.5907166666666667,11.334592888888888,4.057964525785329,11.334592888888888,4.057964525785329,73.5136,45.99539341107976,73.5136,45.99539341107976,0.054,0.3083569360335519,2.262,0.9966724637512567,0.0754,0.033222415458375225,1000,0.054,0.3083569360335519,0.114,0.44385132645966036,0.5887333333333333,-0.4
nan,-0.3201024,0.21211694708872272,3.126,2.071454561413308,3.2572709947085547,0.5783869334693857,3.2572709947085547,0.5783869334693857,0.5946433333333333,10.944345777777777,3.9575068226101173,10.944345777777777,3.9575068226101173,70.536,44.649630502390494,70.536,44.649630502390494,0.066,0.33711125759903066,2.43,1.117631424039249,0.08099999999999999,0.03725438080130831,1000,0.066,0.33711125759903066,0.138,0.48472260108230975,0.59272,-0.32
nan,-0.20242944,0.12582920906246847,3.5144,2.1845348795567445,3.2431556304194555,0.5765809196275796,3.2431556304194555,0.5765809196275796,0.60092,10.850504,3.8918931502733334,10.850504,3.8918931502733334,70.5496,44.69813799074856,70.5496,44.69813799074856,0.098,0.4247305027897101,2.616,1.200226645263302,0.08719999999999999,0.04000755484211006,1000,0.098,0.4247305027897101,0.224,0.6706891977659996,0.59895,-0.24
nan,-0.09964544,0.06039008116575436,3.8924,2.3589875455372797,3.1804809451721505,0.5682187192907501,3.1804809451721505,0.5682187192907501,0.6047566666666667,10.438331555555555,3.8033857866992635,10.438331555555555,3.8033857866992635,67.3072,42.972084289221996,67.3072,42.972084289221996,0.134,0.5020398390566231,2.746,1.210571765737166,0.09153333333333333,0.040352392191238866,1000,0.134,0.5020398390566231,0.302,0.8595324310344549,0.6026433333333333,-0.16
nan,-0.02764288,0.016392636923497086,4.3192,2.5613495192964195,3.1143674825082592,0.5778039512822588,3.1143674825082592,0.5778039512822588,0.6105066666666666,10.033142222222223,3.797460132743047,10.033142222222223,3.797460132743047,64.484,42.473494605459535,64.484,42.473494605459535,0.154,0.6085096548124771,2.898,1.428144250417303,0.09659999999999999,0.047604808347243434,1000,0.154,0.6085096548124771,0.29,0.8233468284993876,0.6085066666666666,-0.08
nan,0.0,0.0,5.0392,2.8169599500170395,3.049063277988863,0.5588526084138113,3.049063277988863,0.5588526084138113,0.6159233333333334,9.60910311111111,3.563581939362877,9.60910311111111,3.563581939362877,60.5864,38.496962672917455,60.5864,38.496962672917455,0.15,0.5581218504950332,3.182,1.6482948765315022,0.10606666666666666,0.05494316255105008,1000,0.15,0.5581218504950332,0.378,0.898396349057586,0.6139266666666666,-0.0
nan,-0.0369536,0.019869834600217486,5.774,3.104661656283982,2.9593014936988697,0.5705073789107726,2.9593014936988697,0.5705073789107726,0.58736,9.082944,3.568384909555098,9.082944,3.568384909555098,56.4808,38.46142003826692,56.4808,38.46142003826692,0.336,0.8712657459122332,3.574,1.6948522059459934,0.11913333333333334,0.056495073531533116,1000,0.336,0.8712657459122332,0.726,1.3678172392538412,0.58544,0.08
nan,-0.12463248000000003,0.06527612955016253,6.3588,3.330414772967475,2.887687948220799,0.5647840121382839,2.887687948220799,0.5647840121382839,0.5617333333333333,8.657722666666666,3.45999069247657,8.657722666666666,3.45999069247657,52.7888,37.071091089418985,52.7888,37.071091089418985,0.364,0.9505282741717892,3.824,1.9506470721276057,0.12746666666666667,0.06502156907092019,1000,0.364,0.9505282741717892,0.758,1.4322834914918205,0.55977,0.14
nan,-0.27737600000000007,0.14009651895746733,6.9344,3.502412973936683,2.8287602708342994,0.5415974285333204,2.8287602708342994,0.5415974285333204,0.53847,8.295212444444445,3.2459141813812713,8.295212444444445,3.2459141813812713,49.8128,34.83205644460286,49.8128,34.83205644460286,0.37,0.9884836872705588,4.09,2.2122160834782845,0.13633333333333333,0.07374053611594282,1000,0.37,0.9884836872705588,0.792,1.472662894215781,0.53652,0.2
nan,-0.476675,0.23188360630928612,7.6268,3.710137700948578,2.7671538557207978,0.5492904361209727,2.7671538557207978,0.5492904361209727,0.5116766666666667,7.958860444444444,3.249309493853307,7.958860444444444,3.249309493853307,47.4208,34.06054208846359,47.4208,34.06054208846359,0.512,1.1357182749256083,4.39,2.4045581714735036,0.14633333333333337,0.08015193904911679,1000,0.512,1.1357182749256083,1.062,1.6823067496743869,0.5098533333333334,0.25
