temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,-0.4,pivot,100266,70853,61180,0.706650,0.870791,0.610177,70258,0.700716
0,-0.4,crankshaft,99894,60614,55485,0.606783,0.915383,0.555439,60614,0.606783
0,-0.4,end,99840,64654,59955,0.647576,0.927321,0.600511,64654,0.647576
1,-0.32,pivot,99936,70170,61912,0.702149,0.889630,0.619516,69593,0.696376
1,-0.32,crankshaft,100489,60010,55765,0.597180,0.929262,0.554936,60010,0.597180
1,-0.32,end,99575,64143,60139,0.644168,0.937577,0.603957,64143,0.644168
2,-0.24,pivot,100263,69891,63157,0.697077,0.911356,0.629913,69300,0.691182
2,-0.24,crankshaft,99956,58728,55424,0.587539,0.943741,0.554484,58728,0.587539
2,-0.24,end,99781,64238,61104,0.643790,0.951213,0.612381,64238,0.643790
3,-0.16,pivot,99790,68988,64063,0.691332,0.937224,0.641978,68354,0.684978
3,-0.16,crankshaft,100144,57396,55118,0.573135,0.960311,0.550387,57396,0.573135
3,-0.16,end,100066,63843,61612,0.638009,0.965055,0.615714,63843,0.638009
4,-0.08,pivot,100321,68317,65386,0.680984,0.965577,0.651768,67717,0.675003
4,-0.08,crankshaft,99884,56042,54822,0.561071,0.978231,0.548857,56042,0.561071
4,-0.08,end,99795,63413,62344,0.635433,0.983142,0.624721,63413,0.635433
5,0.0,pivot,100156,67292,66693,0.671872,1.000000,0.665891,66693,0.665891
5,0.0,crankshaft,99838,54177,54177,0.542649,1.000000,0.542649,54177,0.542649
5,0.0,end,100006,63308,63308,0.633042,1.000000,0.633042,63308,0.633042
6,0.08,pivot,99880,65929,62663,0.660082,0.958839,0.627383,65353,0.654315
6,0.08,crankshaft,100051,52505,51243,0.524782,0.975964,0.512169,52505,0.524782
6,0.08,end,100069,62930,61726,0.628866,0.980868,0.616834,62930,0.628866
7,0.14,pivot,100082,65331,59922,0.652775,0.925551,0.598729,64742,0.646890
7,0.14,crankshaft,99799,50547,48297,0.506488,0.955487,0.483943,50547,0.506488
7,0.14,end,100119,61993,59712,0.619193,0.963206,0.596410,61993,0.619193
8,0.2,pivot,100320,64515,56565,0.643092,0.884796,0.563846,63930,0.637261
8,0.2,crankshaft,99795,49707,46399,0.498091,0.933450,0.464943,49707,0.498091
8,0.2,end,99885,61327,57992,0.613976,0.945619,0.580588,61327,0.613976
9,0.25,pivot,99890,62901,52850,0.629703,0.847580,0.529082,62354,0.624227
9,0.25,crankshaft,100524,48375,44074,0.481228,0.911090,0.438443,48375,0.481228
9,0.25,end,99586,60299,56032,0.605497,0.929236,0.562649,60299,0.605497
10,0.3,pivot,99739,62028,49745,0.621903,0.809929,0.498752,61419,0.615797
10,0.3,crankshaft,99854,46823,41681,0.468915,0.890182,0.417419,46823,0.468915
10,0.3,end,100407,60651,55292,0.604052,0.911642,0.550679,60651,0.604052
11,0.35,pivot,100089,61245,46330,0.611905,0.763727,0.462888,60663,0.606091
11,0.35,crankshaft,99531,44810,38705,0.450211,0.863758,0.388874,44810,0.450211
11,0.35,end,100380,59867,53398,0.596404,0.891944,0.531959,59867,0.596404
12,0.4,pivot,99261,59190,42291,0.596307,0.721320,0.426059,58630,0.590665
12,0.4,crankshaft,100940,43233,36070,0.428304,0.834316,0.357341,43233,0.428304
12,0.4,end,99799,58716,51077,0.588343,0.869899,0.511799,58716,0.588343
13,0.45,pivot,99987,58301,38865,0.583086,0.673710,0.388701,57688,0.576955
13,0.45,crankshaft,100149,40850,33071,0.407892,0.809572,0.330218,40850,0.407892
13,0.45,end,99864,58307,49575,0.583864,0.850241,0.496425,58307,0.583864
14,0.5,pivot,100396,56693,34180,0.564694,0.609237,0.340452,56103,0.558817
14,0.5,crankshaft,99913,38658,29899,0.386917,0.773423,0.299250,38658,0.386917
14,0.5,end,99691,57098,46834,0.572750,0.820239,0.469792,57098,0.572750
15,0.55,pivot,99468,55315,30627,0.556108,0.559224,0.307908,54767,0.550599
15,0.55,crankshaft,100562,37146,27607,0.369384,0.743202,0.274527,37146,0.369384
15,0.55,end,99970,55892,44298,0.559088,0.792564,0.443113,55892,0.559088
16,0.6,pivot,100183,54085,27167,0.539862,0.507567,0.271174,53524,0.534262
16,0.6,crankshaft,99853,35328,25017,0.353800,0.708135,0.250538,35328,0.353800
16,0.6,end,99964,54830,42546,0.548497,0.775962,0.425613,54830,0.548497
