pair,T_lo,T_hi,proposals,acceptances,rate,K_lo,K_hi
0,nan,nan,2500,2284,0.9136,-0.4,-0.32
1,nan,nan,2500,2287,0.9148,-0.32,-0.24
2,nan,nan,2500,2247,0.8988,-0.24,-0.16
3,nan,nan,2500,2251,0.9004,-0.16,-0.08
4,nan,nan,2500,2204,0.8816,-0.08,-0.0
5,nan,nan,2500,2177,0.8708,-0.0,0.08
6,nan,nan,2500,2249,0.8996,0.08,0.14
7,nan,nan,2500,2211,0.8844,0.14,0.2
8,nan,nan,2500,2255,0.9020,0.2,0.25
9,nan,nan,2500,2249,0.8996,0.25,0.3
10,nan,nan,2500,2220,0.8880,0.3,0.35
11,nan,nan,2500,2192,0.8768,0.35,0.4
12,nan,nan,2500,2176,0.8704,0.4,0.45
13,nan,nan,2500,2155,0.8620,0.45,0.5
14,nan,nan,2500,2194,0.8776,0.5,0.55
15,nan,nan,2500,2180,0.8720,0.55,0.6
