temperature_index,temperature,observable,n_samples,mean,std,tau_int,tau_int_samples,tau_int_cycles,sample_cycle_spacing,ess,drift,drift_in_std,block_mean_std,block_mean_range_over_std,acf_method
0,280.0,contacts,150,3.7466666666666666,2.15773543842201,1.3552707879898684,1.3552707879898684,1.3552707879898684,1,110.67898853075651,0.48,0.22245544632247985,0.4693257575146143,0.6179317953402217,geyer_initial_positive_sequence
0,280.0,rg,150,4.3555806183908485,0.7552562260955723,1.7349689190172057,1.7349689190172057,1.7349689190172057,1,86.45688021026298,-0.10738022407409797,-0.14217721134086986,0.07977452674722803,0.313085066063557,geyer_initial_positive_sequence
0,280.0,rg2,150,19.541494490358126,6.909183878952266,1.7996133983355689,1.7996133983355689,1.7996133983355689,1,83.35123540352188,-1.076349862258951,-0.15578538379010004,0.7613752106352666,0.32481121939855856,geyer_initial_positive_sequence
0,280.0,ree2,150,130.97333333333333,81.13921753518592,1.4758592457304371,1.4758592457304371,1.4758592457304371,1,101.63570844166884,-11.146666666666647,-0.13737705397310382,10.722321473346048,0.40753001657093063,geyer_initial_positive_sequence
0,280.0,m_long_fixed,30,0.13333333333333333,0.49888765156985887,1.0,1.0,5.0,5,30.0,0.26666666666666666,0.5345224838248488,0.1632993161855452,0.6681531047810609,geyer_initial_positive_sequence
0,280.0,m_global_scaled,30,0.13333333333333333,0.49888765156985887,1.0,1.0,5.0,5,30.0,0.26666666666666666,0.5345224838248488,0.1632993161855452,0.6681531047810609,geyer_initial_positive_sequence
0,280.0,smax,30,2.5,0.6191391873668903,1.0,1.0,5.0,5,30.0,0.06666666666666643,0.10767638041163272,0.18257418583505539,0.8075728530872482,geyer_initial_positive_sequence
0,280.0,largest_component_fraction,30,0.05681818181818181,0.014071345167429325,1.0,1.0,5.0,5,30.0,0.0015151515151514972,0.10767638041163183,0.004149413314433075,0.8075728530872481,geyer_initial_positive_sequence
0,280.0,energy,150,460.29505415947233,265.087620237617,1.3552707879898689,1.3552707879898689,1.3552707879898689,1,110.67898853075648,58.97018487452311,0.2224554463224798,57.658805597942546,0.6179317953402215,geyer_initial_positive_sequence
1,280.2005,contacts,150,3.8,2.22411030901497,1.0,1.0,1.0,1,150.0,0.02666666666666684,0.011989812986603692,0.24494897427831777,0.2997453246650903,geyer_initial_positive_sequence
1,280.2005,rg,150,4.26974155564052,0.7861069092877014,1.0,1.0,1.0,1,150.0,-0.19302653069871134,-0.24554742925948128,0.07899263060672437,0.30029159943575623,geyer_initial_positive_sequence
1,280.2005,rg2,150,18.848657024793393,7.1478422790564,1.0,1.0,1.0,1,150.0,-1.856460055096413,-0.25972314198033586,0.7192612037018515,0.30229315607368706,geyer_initial_positive_sequence
1,280.2005,ree2,150,118.77333333333333,74.59277415109024,1.0,1.0,1.0,1,150.0,-6.533333333333346,-0.0875866785715712,11.250331353144922,0.37894644606475647,geyer_initial_positive_sequence
1,280.2005,m_long_fixed,30,0.06666666666666667,0.24944382578492943,1.923809523809524,1.923809523809524,9.61904761904762,5,15.594059405940591,-0.13333333333333333,-0.5345224838248488,0.0816496580927726,0.6681531047810609,geyer_initial_positive_sequence
1,280.2005,m_global_scaled,30,0.06666666666666667,0.24944382578492943,1.923809523809524,1.923809523809524,9.61904761904762,5,15.594059405940591,-0.13333333333333333,-0.5345224838248488,0.0816496580927726,0.6681531047810609,geyer_initial_positive_sequence
1,280.2005,smax,30,2.566666666666667,1.2023125864580955,1.1727389187804254,1.1727389187804254,5.863694593902126,5,25.581141309097262,-0.19999999999999973,-0.1663460919004281,0.6018490028422596,1.3862174325035692,geyer_initial_positive_sequence
1,280.2005,largest_component_fraction,30,0.05833333333333332,0.02732528605586581,1.1727389187804254,1.1727389187804254,5.863694593902126,5,25.581141309097262,-0.004545454545454519,-0.16634609190042732,0.013678386428233172,1.386217432503569,geyer_initial_positive_sequence
1,280.2005,energy,150,465.4191319243352,272.40618140150326,1.0,1.0,1.0,1,150.0,3.266099171398878,0.011989812986603739,30.001036572202853,0.29974532466508996,geyer_initial_positive_sequence
2,302.4,contacts,150,5.1,2.8953986484305285,2.1967395626242543,2.1967395626242543,2.1967395626242543,1,68.28301476976543,0.25333333333333297,0.0874951480241431,0.7108680140035375,0.7368012465191011,geyer_initial_positive_sequence
2,302.4,rg,150,4.150841024817698,0.8034718389942227,1.6041836029073036,1.6041836029073036,1.6041836029073036,1,93.50550630747696,-0.2575821251345447,-0.32058637606637613,0.23955110333029622,0.7812649706411223,geyer_initial_positive_sequence
2,302.4,rg2,150,17.875048209366394,7.274228892624747,1.54886272150527,1.54886272150527,1.54886272150527,1,96.84525162709176,-2.2799862258953105,-0.31343339061092246,2.0840224646952774,0.7284670156646851,geyer_initial_positive_sequence
2,302.4,ree2,150,118.05333333333333,78.454979588438,1.3163695089860878,1.3163695089860878,1.3163695089860878,1,113.9497678851093,-15.439999999999998,-0.19680076498643828,18.016802034644087,0.5276911703651906,geyer_initial_positive_sequence
2,302.4,m_long_fixed,30,0.4666666666666667,1.3349989596333858,1.0,1.0,5.0,5,30.0,-0.26666666666666666,-0.19975046777556893,0.5312459150169743,1.123596381237575,geyer_initial_positive_sequence
2,302.4,m_global_scaled,30,0.4666666666666667,1.3349989596333858,1.0,1.0,5.0,5,30.0,-0.26666666666666666,-0.19975046777556893,0.5312459150169743,1.123596381237575,geyer_initial_positive_sequence
2,302.4,smax,30,2.966666666666667,1.168569876197207,1.0,1.0,5.0,5,30.0,-0.20000000000000018,-0.171149371615539,0.38586123009300755,0.8557468580776942,geyer_initial_positive_sequence
2,302.4,largest_component_fraction,30,0.06742424242424241,0.02655840627720925,1.0,1.0,5.0,5,30.0,-0.004545454545454547,-0.17114937161553892,0.008769573411204715,0.855746858077694,geyer_initial_positive_sequence
2,302.4,energy,150,412.41781596832965,234.13999743987694,2.1967395626242543,2.1967395626242543,2.1967395626242543,1,68.28301476976543,20.4861137343745,0.08749514802414302,57.48522230923196,0.7368012465191011,geyer_initial_positive_sequence
3,328.6957,contacts,150,6.253333333333333,3.36092579838089,1.560660381812745,1.560660381812745,1.560660381812745,1,96.11315937024771,-0.37333333333333396,-0.11108050451848284,0.7855924869520808,0.7041710554296666,geyer_initial_positive_sequence
3,328.6957,rg,150,4.015261573340081,0.8064450142566559,1.2466873784678119,1.2466873784678119,1.2466873784678119,1,120.31885666826203,0.00043108021497850757,0.000534543840383039,0.043047397206949285,0.15722879671788306,geyer_initial_positive_sequence
3,328.6957,rg2,150,16.772679063360883,6.875042030384287,1.2444797204773708,1.2444797204773708,1.2444797204773708,1,120.53229757931403,0.02431129476584104,0.0035361667111847663,0.46313029452420507,0.19966820081397305,geyer_initial_positive_sequence
3,328.6957,ree2,150,106.37333333333333,76.69546241829144,1.7598042187796232,1.7598042187796232,1.7598042187796232,1,85.23675440670381,3.973333333333329,0.05180662855467329,10.218118983235394,0.37811884935038426,geyer_initial_positive_sequence
3,328.6957,m_long_fixed,30,0.36666666666666664,0.7951240294584375,1.0098418277680143,1.0098418277680143,5.049209138840071,5,29.707622694048027,-0.2,-0.25153308489019116,0.24494897427831785,0.8384436163006372,geyer_initial_positive_sequence
3,328.6957,m_global_scaled,30,0.36666666666666664,0.7951240294584375,1.0098418277680143,1.0098418277680143,5.049209138840071,5,29.707622694048027,-0.2,-0.25153308489019116,0.24494897427831785,0.8384436163006372,geyer_initial_positive_sequence
3,328.6957,smax,30,3.1333333333333333,1.384035966135113,1.0,1.0,5.0,5,30.0,-0.2666666666666666,-0.19267322034363518,0.6782329983125268,1.3246283898624922,geyer_initial_positive_sequence
3,328.6957,largest_component_fraction,30,0.07121212121212121,0.03145536286670711,1.0,1.0,5.0,5,30.0,-0.006060606060606058,-0.19267322034363515,0.015414386325284695,1.3246283898624918,geyer_initial_positive_sequence
3,328.6957,energy,150,197.45225177142513,106.12297978576463,1.560660381812745,1.560660381812745,1.560660381812745,1,96.11315937024771,-11.788194135607455,-0.1110805045184825,24.805491288390545,0.7041710554296663,geyer_initial_positive_sequence
4,360.0,contacts,150,8.68,3.823297006511527,1.451088733216579,1.451088733216579,1.451088733216579,1,103.37065995095979,0.3200000000000003,0.08369739506373751,0.5584104424365849,0.37489458205632425,geyer_initial_positive_sequence
4,360.0,rg,150,3.71875329618358,0.7512977454305626,2.551244460280767,2.551244460280767,2.551244460280767,1,58.79483614184599,-0.022864575736016413,-0.030433441169070607,0.10694183111024842,0.42510607511256665,geyer_initial_positive_sequence
