walker,fraction_visited,occupancy_T0,occupancy_T1,occupancy_T2,occupancy_T3,occupancy_T4
0,1.0,60,61,69,59,51
1,1.0,48,47,57,74,74
2,1.0,70,70,64,50,46
3,1.0,58,57,53,56,76
4,1.0,64,65,57,61,53
