pair,T_lo,T_hi,proposals,acceptances,rate
0,280.0,280.2005,150,150,1.0000
1,280.2005,302.4,150,120,0.8000
2,302.4,328.6957,150,112,0.7467
3,328.6957,360.0,150,102,0.6800
