temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,280.0,pivot,5991,4090,3457,0.682691,0.852107,0.577032,4057,0.677182
0,280.0,crankshaft,5908,3617,3299,0.612221,0.912082,0.558395,3617,0.612221
0,280.0,end,6101,3942,3593,0.646124,0.911466,0.588920,3942,0.646124
1,280.2005,pivot,6007,4183,3517,0.696354,0.845636,0.585484,4159,0.692359
1,280.2005,crankshaft,6043,3758,3399,0.621877,0.904470,0.562469,3758,0.621877
1,280.2005,end,5950,3786,3476,0.636303,0.918119,0.584202,3786,0.636303
2,302.4,pivot,6020,4059,3626,0.674252,0.897969,0.602326,4038,0.670764
2,302.4,crankshaft,6089,3583,3367,0.588438,0.939715,0.552964,3583,0.588438
2,302.4,end,5891,3831,3645,0.650314,0.951449,0.618740,3831,0.650314
3,328.6957,pivot,6103,3997,3794,0.654924,0.954946,0.621661,3973,0.650991
3,328.6957,crankshaft,5936,3441,3338,0.579683,0.970067,0.562332,3441,0.579683
3,328.6957,end,5961,3799,3732,0.637309,0.982364,0.626069,3799,0.637309
4,360.0,pivot,5838,3677,3501,0.629839,0.957866,0.599692,3655,0.626071
4,360.0,crankshaft,6021,3158,3074,0.524498,0.973401,0.510546,3158,0.524498
4,360.0,end,6141,3793,3733,0.617652,0.984181,0.607881,3793,0.617652
