temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,280.0,pivot,6040,4178,3499,0.691722,0.842118,0.579305,4155,0.687914
0,280.0,crankshaft,5990,3673,3340,0.613189,0.909338,0.557596,3673,0.613189
0,280.0,end,5970,3838,3545,0.642881,0.923658,0.593802,3838,0.642881
1,280.2005,pivot,5959,4179,3556,0.701292,0.855425,0.596744,4157,0.697600
1,280.2005,crankshaft,5997,3650,3327,0.608638,0.911507,0.554777,3650,0.608638
1,280.2005,end,6044,3898,3574,0.644937,0.916880,0.591330,3898,0.644937
2,302.4,pivot,6045,4062,3634,0.671960,0.900173,0.601158,4037,0.667825
2,302.4,crankshaft,5995,3475,3224,0.579650,0.927770,0.537781,3475,0.579650
2,302.4,end,5960,3819,3579,0.640772,0.937156,0.600503,3819,0.640772
3,328.6957,pivot,5899,3943,3766,0.668418,0.959002,0.638413,3927,0.665706
3,328.6957,crankshaft,6111,3386,3297,0.554083,0.973715,0.539519,3386,0.554083
3,328.6957,end,5990,3773,3692,0.629883,0.978532,0.616361,3773,0.629883
4,360.0,pivot,5958,3846,3668,0.645519,0.960712,0.615643,3818,0.640819
4,360.0,crankshaft,6020,3224,3156,0.535548,0.978908,0.524252,3224,0.535548
4,360.0,end,6022,3683,3583,0.611591,0.972848,0.594985,3683,0.611591
