pair,T_lo,T_hi,proposals,acceptances,rate
0,280.0,280.2005,150,149,0.9933
1,280.2005,302.4,150,117,0.7800
2,302.4,328.6957,150,106,0.7067
3,328.6957,360.0,150,91,0.6067
