model,temp_index,temperature,x_T,s_opt,s_local_sigma,js_at_opt,obs_mean_rg,pred_mean_lat,production_scalar
hs:boot_smoke,43,332.394,0.1755132813,0.4612026378,0.003409872568,0.01412276868,1.52445492,3.282228879,0.4632050331
hs:boot_smoke,44,333.723,0.1921257813,0.4607083408,0.003737663964,0.01507637495,1.516123864,3.271497461,0.4632050331
hs:boot_smoke,45,335.057,0.2088007813,0.4610075871,0.003864801853,0.01473886881,1.51396796,3.260713349,0.4632050331
hs:boot_smoke,46,336.396,0.2255382813,0.466524439,0.004313574908,0.01501222308,1.510717638,3.249878153,0.4632050331
hs:boot_smoke,47,337.741,0.2423507812,0.4609269375,0.003156291705,0.01576116608,1.503180782,3.238985465,0.4632050331
hs:boot_smoke,48,339.091,0.2592257813,0.4667156492,0.005078196145,0.01556306199,1.499723677,3.228045152,0.4632050331
hs:boot_smoke,49,340.446,0.2761632813,0.4674580184,0.003392062268,0.0148083004,1.49532839,3.21705908,0.4632050331
hs:boot_smoke,50,341.807,0.2931757813,0.4594690188,0.003466232148,0.01651414623,1.490338793,3.206021084,0.4632050331
hs:boot_smoke,51,343.173,0.3102507813,0.4659835998,0.003765777493,0.01578050931,1.479211572,3.194941304,0.4632050331
hs:boot_smoke,52,344.545,0.3274007813,0.4672134009,0.004346248996,0.01609332085,1.470779422,3.183813748,0.4632050331
hs:boot_smoke,53,345.922,0.3446132813,0.4664352023,0.003814435604,0.0162767488,1.467424942,3.172648728,0.4632050331
hs:boot_smoke,54,347.305,0.3619007813,0.4671450513,0.004204279742,0.01665659344,1.470738831,3.161440422,0.4632050331
hs:boot_smoke,55,348.693,0.3792507812,0.4672483951,0.003979421128,0.01720548879,1.465347922,3.150199304,0.4632050331
hs:boot_smoke,56,350.086,0.3966632813,0.4603870004,0.003598566522,0.01698723299,1.458615222,3.138927814,0.4632050331
hs:boot_smoke,57,351.486,0.4141632812,0.4610530757,0.002894116471,0.01752555979,1.45967441,3.12761231,0.4632050331
hs:boot_smoke,58,352.891,0.4317257813,0.4607920551,0.003112077905,0.01775136304,1.454219169,3.116271579,0.4632050331
hs:boot_smoke,59,354.301,0.4493507812,0.4673388874,0.003063335347,0.01900582466,1.45157924,3.104908285,0.4632050331
hs:boot_smoke,60,355.717,0.4670507812,0.4668601565,0.004391810112,0.01885615554,1.447867868,3.093517122,0.4632050331
hs:boot_smoke,61,357.139,0.4848257813,0.4673290781,0.003036579016,0.02000469192,1.44744358,3.082100934,0.4632050331
hs:boot_smoke,62,358.567,0.5026757813,0.4741815801,0.002487779525,0.0202362092,1.44793986,3.070662639,0.4632050331
hs:boot_smoke,63,360,0.5205882813,0.4738722084,0.002439111898,0.02009407896,1.448537998,3.059213198,0.4632050331
hs_quadratic:split_sens_run,0,280,-0.4794117187,0.4604056548,0.006651994555,0.0114585318,1.733019289,3.746630033,0.4632050331
hs_quadratic:split_sens_run,1,281.119,-0.4654242187,0.4598737773,0.005754248787,0.01132592374,1.725435715,3.734879428,0.4632050331
hs_quadratic:split_sens_run,2,282.243,-0.4513742188,0.4599935708,0.004883756285,0.01204740961,1.723958365,3.723050116,0.4632050331
hs_quadratic:split_sens_run,3,283.371,-0.4372742188,0.4614877056,0.009906290129,0.01162126221,1.718107939,3.711155462,0.4632050331
hs_quadratic:split_sens_run,4,284.504,-0.4231117187,0.4631720385,0.005055494264,0.01104141443,1.714823153,3.699188023,0.4632050331
hs_quadratic:split_sens_run,5,285.641,-0.4088992187,0.4606505757,0.005368258949,0.01053055825,1.709950734,3.687161739,0.4632050331
hs_quadratic:split_sens_run,6,286.783,-0.3946242187,0.4604496357,0.003799838706,0.01087129491,1.700945718,3.675069701,0.4632050331
hs_quadratic:split_sens_run,7,287.929,-0.3802992188,0.4599621032,0.006110859193,0.01078145741,1.694348575,3.662926463,0.4632050331
hs_quadratic:split_sens_run,8,289.08,-0.3659117188,0.4595284006,0.005074018316,0.01066231869,1.684967521,3.650725717,0.4632050331
hs_quadratic:split_sens_run,9,290.235,-0.3514742187,0.4604240461,0.005465274723,0.01069658366,1.681340395,3.63848267,0.4632050331
hs_quadratic:split_sens_run,10,291.395,-0.3369742188,0.4610236073,0.006793181873,0.01120148474,1.677782196,3.626191674,0.4632050331
hs_quadratic:split_sens_run,11,292.56,-0.3224117187,0.4607870782,0.004330600883,0.01106267758,1.673136472,3.613858039,0.4632050331
hs_quadratic:split_sens_run,12,293.729,-0.3077992188,0.4606467716,0.00459606461,0.01095444302,1.673847958,3.601498011,0.4632050331
hs_quadratic:split_sens_run,13,294.903,-0.2931242187,0.4623037183,0.004489197294,0.01126682498,1.672470171,3.589107041,0.4632050331
hs_quadratic:split_sens_run,14,296.082,-0.2783867188,0.462604951,0.003535117032,0.0128602697,1.665708368,3.576691559,0.4632050331
hs_quadratic:split_sens_run,15,297.266,-0.2635867187,0.4624910553,0.004140590755,0.01265092093,1.658451817,3.564258384,0.4632050331
hs_quadratic:split_sens_run,16,298.454,-0.2487367187,0.4623467305,0.004782774553,0.01069118009,1.653061675,3.551825172,0.4632050331
