walker,fraction_visited,n_visited,first_passage_low_to_high,first_passage_high_to_low,n_round_trips_low,n_round_trips_high,n_round_trips,mean_round_trip_duration
0,1.0,13,13,13,130,131,261,57.172413793103445
1,1.0,13,13,17,128,127,255,58.44705882352941
2,1.0,13,13,13,141,142,283,52.53003533568904
3,1.0,13,81,41,125,124,249,59.566265060240966
4,1.0,13,13,25,133,133,266,55.92481203007519
5,1.0,13,17,13,134,133,267,55.97003745318352
6,1.0,13,23,13,120,120,240,61.983333333333334
7,1.0,13,13,23,132,133,265,56.27169811320755
8,1.0,13,13,33,131,130,261,57.14176245210728
9,1.0,13,35,29,129,130,259,57.343629343629345
10,1.0,13,13,73,128,129,257,57.540856031128406
11,1.0,13,17,17,125,124,249,59.911646586345384
12,1.0,13,39,92,130,130,260,56.45
