temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,0.4,pivot,150388,89667,63986,0.596238,0.720279,0.425473,88835,0.590705
0,0.4,crankshaft,149391,64676,54244,0.432931,0.838704,0.363101,64676,0.432931
0,0.4,end,150221,88572,77198,0.589611,0.871585,0.513896,88572,0.589611
1,0.45,pivot,150009,86917,57681,0.579412,0.670086,0.384517,86080,0.573832
1,0.45,crankshaft,150474,61628,49796,0.409559,0.808009,0.330928,61628,0.409559
1,0.45,end,149517,87303,74003,0.583900,0.847657,0.494947,87303,0.583900
2,0.5,pivot,150295,85127,51864,0.566399,0.615538,0.345081,84258,0.560617
2,0.5,crankshaft,149665,58454,45372,0.390566,0.776200,0.303157,58454,0.390566
2,0.5,end,150040,86209,70688,0.574573,0.819961,0.471128,86209,0.574573
3,0.53,pivot,149244,83344,48201,0.558441,0.584042,0.322968,82530,0.552987
3,0.53,crankshaft,150298,57251,43552,0.380917,0.760720,0.289771,57251,0.380917
3,0.53,end,150458,85173,68956,0.566092,0.809599,0.458307,85173,0.566092
4,0.55,pivot,150006,83125,46096,0.554145,0.560608,0.307294,82225,0.548145
4,0.55,crankshaft,150103,55726,41388,0.371252,0.742705,0.275731,55726,0.371252
4,0.55,end,149891,84591,67765,0.564350,0.801090,0.452095,84591,0.564350
5,0.57,pivot,149866,81882,43459,0.546368,0.536259,0.289986,81041,0.540756
5,0.57,crankshaft,150103,54826,40102,0.365256,0.731441,0.267163,54826,0.365256
5,0.57,end,150031,83928,66090,0.559404,0.787461,0.440509,83928,0.559404
6,0.59,pivot,149844,81167,41570,0.541677,0.517968,0.277422,80256,0.535597
6,0.59,crankshaft,150109,53309,38434,0.355135,0.720966,0.256041,53309,0.355135
6,0.59,end,150047,83714,65086,0.557919,0.777480,0.433771,83714,0.557919
7,0.6,pivot,150020,80839,40787,0.538855,0.510156,0.271877,79950,0.532929
7,0.6,crankshaft,149816,52846,37670,0.352739,0.712826,0.251442,52846,0.352739
7,0.6,end,150164,82975,64063,0.552563,0.772076,0.426620,82975,0.552563
8,0.61,pivot,150205,80563,39966,0.536354,0.501317,0.266076,79722,0.530755
8,0.61,crankshaft,149846,52007,36613,0.347070,0.704001,0.244338,52007,0.347070
8,0.61,end,149949,83002,63625,0.553535,0.766548,0.424311,83002,0.553535
9,0.63,pivot,149791,78881,37134,0.526607,0.475815,0.247905,78043,0.521013
9,0.63,crankshaft,150624,51164,35352,0.339680,0.690955,0.234704,51164,0.339680
9,0.63,end,149585,81966,61788,0.547956,0.753825,0.413063,81966,0.547956
10,0.66,pivot,150052,78096,34256,0.520460,0.443489,0.228294,77242,0.514768
10,0.66,crankshaft,150196,49118,32905,0.327026,0.669917,0.219080,49118,0.327026
10,0.66,end,149752,80627,59225,0.538403,0.734555,0.395487,80627,0.538403
11,0.7,pivot,150236,76194,30522,0.507162,0.405032,0.203160,75357,0.501591
11,0.7,crankshaft,149730,47154,30274,0.314927,0.642024,0.202191,47154,0.314927
11,0.7,end,150034,79775,56505,0.531713,0.708305,0.376615,79775,0.531713
12,0.75,pivot,149308,74132,26459,0.496504,0.361284,0.177211,73236,0.490503
12,0.75,crankshaft,150527,45122,27688,0.299760,0.613625,0.183940,45122,0.299760
12,0.75,end,150165,77915,53464,0.518863,0.686184,0.356035,77915,0.518863
