walker,fraction_visited,occupancy_T0,occupancy_T1,occupancy_T2,occupancy_T3,occupancy_T4,occupancy_T5,occupancy_T6,occupancy_T7,occupancy_T8,occupancy_T9,occupancy_T10,occupancy_T11,occupancy_T12
0,1.0,576,585,569,564,546,560,572,572,564,572,604,602,614
1,1.0,582,575,573,585,575,571,583,585,583,583,561,556,588
2,1.0,574,580,592,579,577,573,567,567,579,579,579,581,573
3,1.0,574,594,606,591,597,584,568,572,570,564,548,562,570
4,1.0,622,602,556,580,576,579,571,569,571,563,559,578,574
5,1.0,568,582,546,550,574,576,582,582,586,582,594,590,588
6,1.0,562,587,575,575,577,575,565,568,568,568,586,602,592
7,1.0,558,562,590,584,590,594,600,577,575,580,572,562,556
8,1.0,576,547,547,549,551,555,575,581,597,600,602,610,610
9,1.0,600,584,600,584,576,588,602,603,589,588,548,532,506
10,1.0,600,568,584,600,590,582,582,576,566,559,569,550,574
11,1.0,520,544,552,556,578,572,576,583,577,583,613,626,620
12,1.0,588,590,610,603,593,591,557,565,575,579,565,549,535
