pair,T_lo,T_hi,proposals,acceptances,rate,K_lo,K_hi
0,nan,nan,3750,3278,0.8741,0.4,0.45
1,nan,nan,3750,3256,0.8683,0.45,0.5
2,nan,nan,3750,3465,0.9240,0.5,0.53
3,nan,nan,3750,3556,0.9483,0.53,0.55
4,nan,nan,3750,3578,0.9541,0.55,0.57
5,nan,nan,3750,3555,0.9480,0.57,0.59
6,nan,nan,3750,3658,0.9755,0.59,0.6
7,nan,nan,3750,3665,0.9773,0.6,0.61
8,nan,nan,3750,3545,0.9453,0.61,0.63
9,nan,nan,3750,3457,0.9219,0.63,0.66
10,nan,nan,3750,3383,0.9021,0.66,0.7
11,nan,nan,3750,3295,0.8787,0.7,0.75
