pair,T_lo,T_hi,proposals,acceptances,rate,K_lo,K_hi
0,nan,nan,3750,3298,0.8795,0.4,0.45
1,nan,nan,3750,3254,0.8677,0.45,0.5
2,nan,nan,3750,3480,0.9280,0.5,0.53
3,nan,nan,3750,3545,0.9453,0.53,0.55
4,nan,nan,3750,3548,0.9461,0.55,0.57
5,nan,nan,3750,3541,0.9443,0.57,0.59
6,nan,nan,3750,3632,0.9685,0.59,0.6
7,nan,nan,3750,3658,0.9755,0.6,0.61
8,nan,nan,3750,3553,0.9475,0.61,0.63
9,nan,nan,3750,3466,0.9243,0.63,0.66
10,nan,nan,3750,3336,0.8896,0.66,0.7
11,nan,nan,3750,3230,0.8613,0.7,0.75
