bootstrap_index,h,s,Tc,train_loss,validation_loss,all_loss,rg_train_loss,rg_validation_loss,rg_all_loss,combined_train_loss,combined_validation_loss,combined_all_loss,objective
0,334.387009839959,1.3014512118586812,256.9339571034712,2.3929539405340274,1.2488704280505076,3.641824368584535,0.5605147539307239,0.29715474578909273,0.8576694997198165,2.6732113174993892,1.397447800945054,4.070659118444444,2.680109942760394
1,340.62949471448184,1.3219127146322969,257.67926349753833,2.391625489313062,1.2483978422858386,3.6400233315989006,0.5648841514224034,0.2998733156815504,0.8647574671039537,2.674067565024264,1.3983345001266139,4.072402065150877,2.57626730444121
2,346.5813045340549,1.3434337365564397,257.9816890875693,2.3909834653463085,1.2487861441894816,3.63976960953579,0.5735879941996017,0.30519666801484086,0.8787846622144426,2.6777774624461093,1.401384478196902,4.0791619406430115,2.59404389588621
3,325.45710605343135,1.2758849991296055,255.08341760852628,2.3936345664522127,1.2497870104658277,3.64342157691804,0.5604380394016162,0.29709736039712675,0.8575353997987429,2.6738535861530206,1.3983356906643911,4.0721892768174115,2.6198364227020368
4,339.7000539538302,1.3175008043017278,257.83669569285036,2.3925280163414744,1.2485175522346583,3.641045568576132,0.5621654228750668,0.2981666781683678,0.8603321010434346,2.6736107277790078,1.3976008913188422,4.071211619097849,2.655824270095773
5,315.9844196515696,1.2491812715846524,252.9532157096197,2.3958136195930075,1.251636959608264,3.647450579201272,0.562392651534686,0.29817443155476064,0.8605670830894467,2.6770099453603504,1.4007241753856443,4.077734120745995,2.6862414804872077
6,335.74690060104376,1.302563300917716,257.7586059460562,2.3955080998265466,1.2494907186581208,3.644998818484668,0.5574005184247667,0.29509474987512135,0.8524952682998881,2.67420835903893,1.3970380935956814,4.071246452634612,2.6024374504289507
7,350.6336450379468,1.3493368468249585,259.8562737414318,2.393439645901552,1.2484794938022061,3.6419191397037585,0.5647394196879304,0.29964665194558554,0.864386071633516,2.675809355745517,1.398302819774999,4.074112175520517,2.615574014842514
8,323.558021553294,1.2684398341242948,255.08345989202704,2.394758009012932,1.250047558401303,3.6448055674142354,0.5573555424171088,0.2951801254570317,0.8525356678741405,2.6734357802214865,1.397637621129819,4.071073401351306,2.7826910287423043
9,324.6701574405622,1.2696733920458176,255.71155501449314,2.396204612192174,1.250300048126847,3.646504660319021,0.5549077182838389,0.29360753007105456,0.8485152483548934,2.673658471334093,1.3971038131623743,4.0707622844964675,2.620168918680746
10,327.0916868858243,1.2811405024073779,255.31289212322122,2.3932385891921077,1.2496060934859645,3.642844682678072,0.5613435641607234,0.29766157284750344,0.859005137008227,2.6739103712724694,1.3984368799097162,4.072347251182186,2.689043551629098
11,340.90317054087035,1.3191840320896597,258.4197217736642,2.394117663513651,1.2488705006164178,3.642988164130069,0.560179853590723,0.29685130329813186,0.8570311568888548,2.674207590309013,1.3972961522654836,4.071503742574496,2.6362621491953218
12,333.7784097755278,1.2996088597015059,256.82989715243247,2.3930209057743816,1.2489201846160052,3.641941090390387,0.5603332977777236,0.2970427332344991,0.8573760310122227,2.6731875546632433,1.3974415512332548,4.070629105896498,2.6832340236082985
13,341.2840814383615,1.322145209949693,258.12904578865977,2.392545787461178,1.2484575630415586,3.6410033505027366,0.5625057586890956,0.29836798853899904,0.8608737472280947,2.673798666805726,1.397641557311058,4.071440224116784,2.6049986794952864
14,319.8928223041935,1.257377749920824,254.41266343732966,2.395533575987694,1.2505682063511543,3.646101782338848,0.5566389943074046,0.29472139670457015,0.8513603910119748,2.6738530731413963,1.3979289047034393,4.071781977844836,2.6334657070686096
