walker,fraction_visited,n_visited,first_passage_low_to_high,first_passage_high_to_low,n_round_trips_low,n_round_trips_high,n_round_trips,mean_round_trip_duration
0,1.0,4,8,8,7,7,14,14.857142857142858
1,1.0,4,4,4,8,8,16,13.75
2,1.0,4,6,8,7,6,13,16.76923076923077
3,1.0,4,6,4,5,6,11,16.181818181818183
