temperature_index,temperature,observable,n_samples,mean,std,tau_int,tau_int_samples,tau_int_cycles,sample_cycle_spacing,ess,drift,drift_in_std,block_mean_std,block_mean_range_over_std,acf_method
0,300.0,contacts,36,9.166666666666666,3.8477987935383986,2.502188868042527,2.502188868042527,2.502188868042527,1,14.387403149212695,-1.5555555555555554,-0.40427154303592927,2.254971831128645,1.6150235622302687,geyer_initial_positive_sequence
0,300.0,rg,36,3.781579500385357,0.7184125119745987,1.7657459227552486,1.7657459227552486,1.7657459227552486,1,20.38798421452733,-0.026043004758696586,-0.03625076724668376,0.20170677979971846,0.7046447755167489,geyer_initial_positive_sequence
0,300.0,rg2,36,14.81646005509642,5.761034834138134,1.8039235604616786,1.8039235604616786,1.8039235604616786,1,19.956499703782633,-0.31519742883379287,-0.054711946361794085,1.672658141444685,0.7103302489853119,geyer_initial_positive_sequence
0,300.0,ree2,36,83.66666666666667,52.442561171459026,1.330954176542412,1.330954176542412,1.330954176542412,1,27.048264045815426,4.888888888888886,0.09322368663316888,18.85595775496813,0.9609152569436789,geyer_initial_positive_sequence
0,300.0,m_long_fixed,8,0.375,0.6959705453537527,1.0,1.0,5.0,5,8.0,0.25,0.3592106040535498,0.7745966692414834,2.8736848324283986,geyer_initial_positive_sequence
0,300.0,m_global_scaled,8,0.375,0.6959705453537527,1.0,1.0,5.0,5,8.0,0.25,0.3592106040535498,0.7745966692414834,2.8736848324283986,geyer_initial_positive_sequence
0,300.0,smax,8,4.375,1.79843682124227,1.0,1.0,5.0,5,8.0,-0.25,-0.13900960937138318,2.0,3.336230624913196,geyer_initial_positive_sequence
0,300.0,largest_component_fraction,8,0.09943181818181818,0.040873564119142496,1.0,1.0,5.0,5,8.0,-0.005681818181818163,-0.1390096093713827,0.045454545454545456,3.336230624913196,geyer_initial_positive_sequence
0,300.0,energy,36,-367.5650000000003,154.28903602330286,2.5021888680425266,2.5021888680425266,2.5021888680425266,1,14.387403149212696,62.37466666666677,0.4042715430359296,90.4198604845965,1.6150235622302687,geyer_initial_positive_sequence
1,320.0,contacts,36,10.833333333333334,3.905124837953327,1.0,1.0,1.0,1,36.0,0.8888888888888893,0.22762111988070408,1.2845431173799355,0.9511311080729413,geyer_initial_positive_sequence
1,320.0,rg,36,3.434753834855612,0.6272694893092722,1.2400784048903875,1.2400784048903875,1.2400784048903875,1,29.03042247815137,-0.04196292984931871,-0.06689776972179351,0.20788885133858637,0.9750220825908126,geyer_initial_positive_sequence
1,320.0,rg2,36,12.191000918273646,4.474754140847622,1.2769476424620088,1.2769476424620088,1.2769476424620088,1,28.192228720192855,-0.11788337924701509,-0.026344101940913616,1.3806094032670189,0.9302813675095541,geyer_initial_positive_sequence
1,320.0,ree2,36,69.77777777777777,42.70643401377408,1.0,1.0,1.0,1,36.0,1.1111111111111,0.02601741720586491,11.053893948675798,0.7626820015205046,geyer_initial_positive_sequence
1,320.0,m_long_fixed,8,1.375,2.341874249399399,1.0,1.0,5.0,5,8.0,1.25,0.5337605126836238,2.615339366124404,2.9890588710282935,geyer_initial_positive_sequence
1,320.0,m_global_scaled,8,1.375,2.341874249399399,1.0,1.0,5.0,5,8.0,1.25,0.5337605126836238,2.615339366124404,2.9890588710282935,geyer_initial_positive_sequence
1,320.0,smax,8,4.375,1.4947825928876748,1.2639860139860142,1.2639860139860142,6.319930069930071,5,6.329183955739971,1.75,1.170738814009927,1.6911534525287764,3.0104712360255266,geyer_initial_positive_sequence
1,320.0,largest_component_fraction,8,0.09943181818181818,0.03397233165653806,1.2639860139860142,1.2639860139860142,6.319930069930071,5,6.329183955739971,0.03977272727272728,1.1707388140099273,0.038435305739290375,3.010471236025527,geyer_initial_positive_sequence
1,320.0,energy,36,-737.0479999999999,265.6859493751222,1.0,1.0,1.0,1,36.0,-60.47573333333321,-0.22762111988070347,87.39414789956739,0.9511311080729414,geyer_initial_positive_sequence
2,340.0,contacts,36,12.61111111111111,5.668028158881759,1.2863173962703218,1.2863173962703218,1.2863173962703218,1,27.986871750613048,-0.5555555555555554,-0.09801566611573795,1.9992473073430326,1.0081611371904478,geyer_initial_positive_sequence
2,340.0,rg,36,3.4341930953764463,0.766383686196174,1.0751735535404845,1.0751735535404845,1.0751735535404845,1,33.48296643035357,-0.21376618013746773,-0.27892840621185827,0.22629457129209848,0.8240098882033562,geyer_initial_positive_sequence
2,340.0,rg2,36,12.381026170798897,5.65931239814723,1.064003809410015,1.064003809410015,1.064003809410015,1,33.834465329557254,-1.7250918273645564,-0.3048235732541155,1.7812540038653708,0.912054221562732,geyer_initial_positive_sequence
2,340.0,ree2,36,71.83333333333333,55.35014804757878,1.0450318803085574,1.0450318803085574,1.0450318803085574,1,34.44870982248943,-16.999999999999993,-0.3071355831855564,19.079019356136648,1.0220646297603395,geyer_initial_positive_sequence
2,340.0,m_long_fixed,8,2.125,2.521780125229002,1.0,1.0,5.0,5,8.0,2.75,1.0904995136125413,1.7435595774162693,1.9827263883864386,geyer_initial_positive_sequence
2,340.0,m_global_scaled,8,2.125,2.521780125229002,1.0,1.0,5.0,5,8.0,2.75,1.0904995136125413,1.7435595774162693,1.9827263883864386,geyer_initial_positive_sequence
2,340.0,smax,8,7.375,3.7728470681966426,1.3268386388583973,1.3268386388583973,6.634193194291987,5,6.029369183040331,4.25,1.1264702552683719,3.2310988842807027,2.3854664229212577,geyer_initial_positive_sequence
2,340.0,largest_component_fraction,8,0.16761363636363635,0.08574652427719641,1.3268386388583973,1.3268386388583973,6.634193194291987,5,6.029369183040331,0.0965909090909091,1.126470255268372,0.07343406555183413,2.3854664229212577,geyer_initial_positive_sequence
2,340.0,energy,36,-1210.3185999999998,543.9742656754637,1.2863173962703214,1.2863173962703214,1.2863173962703214,1,27.98687175061306,53.317999999999984,0.09801566611573796,191.87256227924834,1.0081611371904469,geyer_initial_positive_sequence
3,360.0,contacts,36,15.13888888888889,4.790921842272678,5.542680307631396,5.542680307631396,5.542680307631396,1,6.4950525741911695,-1.6111111111111107,-0.3362841566095858,3.4230908577494943,2.087280972059499,geyer_initial_positive_sequence
3,360.0,rg,36,3.062240157109213,0.6006466172776372,3.3112576022137867,3.3112576022137867,3.3112576022137867,1,10.87200221931743,0.2523774994647958,0.4201763436355777,0.4102172236344483,1.538935610082347,geyer_initial_positive_sequence
3,360.0,rg2,36,9.73809113865932,3.889171147147951,3.020988596546207,3.020988596546207,3.020988596546207,1,11.916628894646465,1.8309802571166198,0.47078932447067395,2.5517909558179706,1.4998278930089917,geyer_initial_positive_sequence
3,360.0,ree2,36,49.833333333333336,37.18833449110382,1.5487844885880517,1.5487844885880517,1.5487844885880517,1,23.244034444598146,8.555555555555557,0.23006019690401072,14.339868783733477,1.0756061153953747,geyer_initial_positive_sequence
3,360.0,m_long_fixed,8,3.0,2.0615528128088303,1.0,1.0,5.0,5,8.0,1.5,0.7276068751089989,1.9078784028338913,2.42535625036333,geyer_initial_positive_sequence
3,360.0,m_global_scaled,8,3.0,2.0615528128088303,1.0,1.0,5.0,5,8.0,1.5,0.7276068751089989,1.9078784028338913,2.42535625036333,geyer_initial_positive_sequence
3,360.0,smax,8,8.375,1.8666480653835098,1.5403587443946187,1.5403587443946187,7.701793721973093,5,5.193595342066958,-2.25,-1.2053691543283651,1.7146428199482247,2.4107383086567302,geyer_initial_positive_sequence
3,360.0,largest_component_fraction,8,0.1903409090909091,0.04242381966780705,1.5403587443946192,1.5403587443946192,7.701793721973096,5,5.193595342066956,-0.051136363636363674,-1.2053691543283658,0.038969154998823294,2.4107383086567302,geyer_initial_positive_sequence
3,360.0,energy,36,-1875.8536666666669,593.6412091072707,5.542680307631396,5.542680307631396,5.542680307631396,1,6.4950525741911695,199.6321333333333,0.33628415660958577,424.15381894739664,2.0872809720594985,geyer_initial_positive_sequence
