rg_weight,temp_index,temperature,in_validation,contact_loss,rg_loss,b_T,pred_mean_contacts,pred_mean_rg
0,62,358.567,0,0.06524191416,0.02406987429,-0.3767266568,16.70823657,1.408937622
0,63,360,1,0.0671407767,0.02563423466,-0.3806127061,16.8597326,1.403248409
0.1,0,280,1,0.04287255762,0.01120763419,-0.1043698233,9.347862809,1.709314439
0.1,1,281.119,0,0.04035359888,0.01115159577,-0.109273489,9.432813886,1.705507378
0.1,2,282.243,0,0.04298997436,0.01184477312,-0.1141599217,9.518696305,1.701668479
0.1,3,283.371,1,0.04441401011,0.01109060585,-0.1190247724,9.605445055,1.697800894
0.1,4,284.504,0,0.04432314971,0.01080032858,-0.123872354,9.693148425,1.693900932
0.1,5,285.641,0,0.04297109721,0.01017977687,-0.1286983897,9.781740352,1.689971782
0.1,6,286.783,1,0.04526618272,0.01037791645,-0.1335071281,9.871310048,1.686009739
0.1,7,287.929,0,0.04639625102,0.01039747229,-0.1382943637,9.961790294,1.68201803
0.1,8,289.08,0,0.04961132809,0.01029981099,-0.1430642812,10.05327117,1.677992937
0.1,9,290.235,1,0.04901852521,0.01014948153,-0.1478127452,10.14568419,1.673937734
0.1,10,291.395,0,0.04751198606,0.01060857621,-0.1525438776,10.23912022,1.669848693
0.1,11,292.56,0,0.04838076933,0.01060818298,-0.1572576421,10.33359078,1.665725588
0.1,12,293.729,1,0.04787365093,0.0105303125,-0.1619500065,10.42902526,1.661571765
0.1,13,294.903,0,0.04725050907,0.01105186682,-0.1666250007,10.52551558,1.657383489
0.1,14,296.082,0,0.04996619035,0.01254685976,-0.1712825945,10.6230726,1.653160572
0.1,15,297.266,1,0.04972285728,0.01235422976,-0.1759227598,10.7217069,1.648902839
0.1,16,298.454,0,0.04998921379,0.01041778302,-0.1805415984,10.82134462,1.644613749
0.1,17,299.647,0,0.05021199947,0.01104593444,-0.1851430208,10.92207872,1.640289573
0.1,18,300.845,1,0.05322769084,0.01068173594,-0.1897270047,11.02391877,1.635930187
0.1,19,302.047,0,0.05453795735,0.01124816217,-0.1942897491,11.12678806,1.631539146
0.1,20,303.254,0,0.05628567833,0.01144754898,-0.1988350768,11.23078001,1.627112736
0.1,21,304.467,1,0.05557925403,0.0105356397,-0.2033666921,11.33598987,1.622647205
0.1,22,305.683,0,0.05774945851,0.01089449366,-0.207873417,11.44216428,1.618153581
0.1,23,306.905,0,0.05649475798,0.01014576179,-0.2123664019,11.54957145,1.613620784
0.1,24,308.132,1,0.05281850559,0.01088384179,-0.2168419145,11.65813089,1.609052512
0.1,25,309.364,0,0.05373668353,0.01071659687,-0.221299946,11.76784848,1.604448805
0.1,26,310.6,0,0.05020584543,0.01167019092,-0.2257369134,11.8786395,1.599813485
0.1,27,311.842,1,0.05121828745,0.01139388323,-0.2301599907,11.99068767,1.595139148
0.1,28,313.088,0,0.05479060123,0.01210426241,-0.2345620512,12.10381626,1.590433446
0.1,29,314.34,0,0.05314487707,0.01151570418,-0.2389501587,12.2182097,1.585688987
