temperature,K,JS_contact_full,JS_contact_overlap,JS_rg,combined_score,n_direct_seeds
280.0,-0.4,0.05482918782409285,0.017787977013207414,0.070908337402152,0.06286876261312242,2
280.0,-0.32,0.05972029217328569,0.02300757492798971,0.061721816887687325,0.06072105453048651,2
280.0,-0.24,0.06858366333139627,0.03243101947515878,0.05963121850100074,0.06410744091619851,2
280.0,-0.16,0.0790657070319874,0.043577472762038105,0.05762491023407085,0.06834530863302912,2
280.0,-0.08,0.0983915312917765,0.06403700632693252,0.056023593529523935,0.07720756241065022,2
280.0,0.0,0.12897047521140947,0.09628736045142586,0.05773546190188241,0.09335296855664595,2
280.0,0.08,0.1628150211724252,0.1320320194947347,0.0689858689362432,0.1159004450543342,2
280.0,0.14,0.19181601018114955,0.16262019501255115,0.0826345432884893,0.13722527673481943,2
280.0,0.20000000000000004,0.22288584092897612,0.1953942238365481,0.09224666229395254,0.15756625161146431,2
280.0,0.25,0.25496404989911275,0.2292476933622875,0.11010771229389693,0.18253588109650484,2
280.0,0.3,0.29574449986311213,0.27220803990804954,0.13970542043620715,0.21772496014965964,2
280.0,0.3499999999999999,0.326510289072659,0.30466148369149376,0.1574759659482028,0.2419931275104309,2
280.0,0.4,0.36152805899713797,0.34176694191600415,0.1916458634655442,0.2765869612313411,2
280.0,0.45,0.4034737370136323,0.38594977872786085,0.22740095007316952,0.3154373435434009,2
280.0,0.5,0.43917770039553494,0.4236224273516451,0.26960232788948657,0.35439001414251076,2
280.0,0.53,0.45972364185642,0.44539697113377064,0.2962694771598125,0.3779965595081163,2
280.0,0.55,0.4728467207586211,0.45934604610147556,0.31268340388904425,0.3927650623238327,2
280.0,0.57,0.48751317158730956,0.47476744266687404,0.3298705114009933,0.40869184149415144,2
280.0,0.59,0.4991517136657768,0.48711635673986636,0.34659356039965117,0.422872637032714,2
280.0,0.6,0.5027014938333895,0.49096172622130635,0.3548404761226598,0.4287709849780246,2
280.0,0.61,0.5130533547861169,0.5018878145523327,0.3700419659572759,0.4415476603716964,2
280.0,0.63,0.5254772017760634,0.5149524714799463,0.3839018667558105,0.45468953426593695,2
280.0,0.65,0.542490624216952,0.5328917456597537,0.4085071896171019,0.475498906917027,1
280.0,0.66,0.5449279111172056,0.5355225592583155,0.41482091259989307,0.47987441185854934,2
280.0,0.7,0.5617319468142375,0.5534846142199736,0.4410930705180523,0.501412508666145,2
280.0,0.75,0.5842495542762811,0.5773814994675311,0.4820337357947393,0.5331416450355102,2
280.0,0.85,0.6239168522707892,0.6194250254001317,0.543560240379621,0.5837385463252052,1
280.0,0.95,0.6439957142287014,0.6410024206687628,0.5884631915134186,0.61622945287106,1
280.0,1.05,0.6651976044214638,0.6633778152414792,0.6238932029515311,0.6445454036864975,1
281.119,-0.4,0.05561593800871881,0.019042564829901333,0.07198853219928894,0.06380223510400387,2
281.119,-0.32,0.06025351628596101,0.02399843893038196,0.06263808630453843,0.06144580129524972,2
281.119,-0.24,0.06848352660198709,0.03275501908865466,0.060100918634742276,0.06429222261836468,2
281.119,-0.16,0.0785371933966427,0.04345142142981716,0.057825828657235956,0.06818151102693933,2
281.119,-0.08,0.09719556573867372,0.06320267779523359,0.05568837431724713,0.07644197002796042,2
281.119,0.0,0.12712947157612586,0.09475010786143263,0.05658642279312048,0.09185794718462317,2
281.119,0.08,0.15991359874362407,0.12934535044725784,0.06723704643367431,0.11357532258864919,2
281.119,0.14,0.1881513094771633,0.1590937779472284,0.08040070636791974,0.13427600792254152,2
281.119,0.20000000000000004,0.21849529102287601,0.19106345819206344,0.08931704351701628,0.15390616726994616,2
281.119,0.25,0.24988604181776825,0.22414290374690116,0.1068096584038824,0.17834785011082532,2
281.119,0.3,0.290124631104291,0.26647983353558274,0.13570883243309717,0.21291673176869408,2
281.119,0.3499999999999999,0.32047503065603,0.2984583854937475,0.15324371694981917,0.2368593738029246,2
281.119,0.4,0.35496399637822423,0.33495825179153194,0.18711287693129813,0.2710384366547612,2
281.119,0.45,0.396589429719827,0.3787611382966395,0.2224061651888928,0.3094977974543599,2
281.119,0.5,0.43207380089825304,0.41616800474186133,0.26436673056108223,0.34822026572966763,2
281.119,0.53,0.4526001626633103,0.43790395011639993,0.2908321755907082,0.3717161691270092,2
281.119,0.55,0.46573374387409777,0.45185416224494923,0.3072652696613619,0.3864995067677298,2
281.119,0.57,0.48040340116192076,0.467268682123715,0.3245054341679937,0.40245441766495726,2
281.119,0.59,0.49207638800717257,0.47964566453942137,0.34119650434539583,0.4166364461762842,2
281.119,0.6,0.4956745863428518,0.4835398703914658,0.3493614096368391,0.42251799798984546,2
281.119,0.61,0.5060370762041068,0.4944708346918121,0.36465451591119097,0.4353457960576489,2
281.119,0.63,0.5185751142573777,0.5076528042365542,0.37833092455252104,0.44845301940494936,2
281.119,0.65,0.5356534129082771,0.5256476113766533,0.40286166848527516,0.4692575406967761,1
281.119,0.66,0.5381611196364817,0.5283547566609345,0.40964053927130684,0.4739008294538943,2
281.119,0.7,0.5551883048141786,0.546544978771859,0.4356716854676387,0.49542999514090863,2
281.119,0.75,0.5780592940835259,0.5708102130647708,0.4768242940363969,0.5274417940599614,2
281.119,0.85,0.618675756429309,0.6138435270733347,0.5389417017179017,0.5788087290736054,1
281.119,0.95,0.6397103098632113,0.6364315197571622,0.5845128160236813,0.6121115629434464,1
281.119,1.05,0.6617762965184162,0.6597171693046935,0.6207663026217822,0.6412712995700992,1
282.243,-0.4,0.05557199896809617,0.019525957411337173,0.07304015878213559,0.06430607887511589,2
