offset,temp_index,temperature,mass_below,mass_inside_positive,mass_internal_gap,mass_above,total_unsupported,geometric_support,positive_support,mass_negative,target_mean_shifted,target_std_shifted,rg_mass_below,rg_mass_inside,rg_mass_internal_gap,rg_mass_above,rg_total_unsupported
43,0,280,0.0001673665632,0.9959759753,0.003706028239,0.0001506299069,0.004024024709,0.9996820035,0.9959759753,0.0001673665632,8.984389264,5.885853904,0,1,0,0,0
43,1,281.119,0.0002130119895,0.9955461475,0.004090210578,0.0001506299069,0.004453852474,0.9996363581,0.9955461475,0.0002130119895,9.245772473,5.951508461,0,1,0,0,0
43,2,282.243,0.0002681668797,0.9951509342,0.004109609884,0.0004712890268,0.00484906579,0.9992605441,0.9951509342,0.0002681668797,9.307776459,6.036969912,0,1,0,0,0
43,3,283.371,0.0004317296574,0.9938135232,0.004722019354,0.001032727771,0.006186476782,0.9985355426,0.9938135232,0.0004317296574,9.500424122,6.144573653,0,1,0,0,0
43,4,284.504,0.0003499482685,0.9933795113,0.00520928428,0.001061256162,0.00662048871,0.9985887956,0.9933795113,0.0003499482685,9.659105502,6.208575919,0,1,0,0,0
43,5,285.641,0.0003233217698,0.9925308867,0.005625798795,0.001519992697,0.007469113262,0.9981566855,0.9925308867,0.0003233217698,9.834191087,6.267437365,0,1,0,0,0
43,6,286.783,0.0001312306007,0.990412939,0.00708569168,0.002370138762,0.009587061043,0.9974986306,0.990412939,0.0001312306007,10.00332032,6.406480106,0,1,9.129085266e-05,0,9.129085266e-05
43,7,287.929,0.0004241220863,0.9879952529,0.008905803055,0.002674821983,0.01200474712,0.9969010559,0.9879952529,0.0004241220863,10.21586255,6.532213825,0,1,9.129085266e-05,0,9.129085266e-05
43,8,289.08,0.0002605593086,0.9865456302,0.009684818331,0.003508992149,0.01345436979,0.9962304485,0.9865456302,0.0002605593086,10.39969494,6.676256808,0,1,8.871872162e-05,0,8.871872162e-05
43,9,290.235,0.0009205160976,0.9857753636,0.009354649747,0.003949470513,0.01422463636,0.9951300134,0.9857753636,0.0009205160976,10.52441992,6.743362943,0,1,9.129085266e-05,0,9.129085266e-05
43,10,291.395,0.0005059034751,0.9848031161,0.01054409348,0.004146886982,0.01519688394,0.9953472095,0.9848031161,0.0005059034751,10.66035238,6.768647163,0,1,0.0002264091889,0,0.0002264091889
43,11,292.56,0.0006181151482,0.9853132037,0.01069776642,0.003370914734,0.0146867963,0.9960109701,0.9853132037,0.0006181151482,10.742928,6.800130897,0,1,8.947290994e-05,0,8.947290994e-05
43,12,293.729,0.000490688333,0.9834550545,0.0121949364,0.003859320796,0.01654494553,0.9956499909,0.9834550545,0.000490688333,10.80745694,6.819726365,0,1,0.0001330780824,0,0.0001330780824
43,13,294.903,0.0007455419634,0.9818875145,0.01305116852,0.004315775059,0.01811248555,0.994938683,0.9818875145,0.0007455419634,10.91321815,6.872838268,0,1,0.0002700143614,0,0.0002700143614
43,14,296.082,0.0006808776094,0.9800860416,0.0128210395,0.006412041263,0.01991395837,0.9929070811,0.9800860416,0.0006808776094,11.13718124,6.99709674,0,1,0.000766969789,0,0.000766969789
43,15,297.266,0.0006067037916,0.9776790061,0.01499528331,0.006719006756,0.02232099385,0.9926742895,0.9776790061,0.0006067037916,11.28130401,7.074781833,0,1,0.0008582606416,0,0.0008582606416
43,16,298.454,0.0009832785588,0.9775200079,0.0146441939,0.006852519628,0.02247999209,0.9921642018,0.9775200079,0.0009832785588,11.4622364,7.142156529,0,1,0.0005831020181,0,0.0005831020181
43,17,299.647,0.0007721684621,0.9746025044,0.01739280932,0.007232517802,0.02539749559,0.9919953137,0.9746025044,0.0007721684621,11.60946458,7.205681198,0,1,0.0003182319188,0,0.0003182319188
43,18,300.845,0.0008729687785,0.9715412178,0.02050506664,0.007080746759,0.02845878218,0.9920462845,0.9715412178,0.0008729687785,11.84358225,7.331411717,0,1,0.0006821092639,0,0.0006821092639
43,19,302.047,0.001000395594,0.9694415282,0.02196381839,0.007594257805,0.03055847179,0.9914053466,0.9694415282,0.001000395594,12.03045767,7.415025109,0,1,0.0005882462802,0,0.0005882462802
43,20,303.254,0.0008197157811,0.967774329,0.0232034721,0.008202483111,0.03222567099,0.9909778011,0.967774329,0.0008197157811,12.26913418,7.495021754,0,1,0.0004500239357,0,0.0004500239357
43,21,304.467,0.0006143113627,0.9672425598,0.02230996288,0.009833165967,0.0327574402,0.9895525227,0.9672425598,0.0006143113627,12.37867027,7.529680871,0,1,0.0004951374848,0,0.0004951374848
43,22,305.683,0.0007892854969,0.9649329012,0.02446290548,0.009814907796,0.03506709878,0.9893958067,0.9649329012,0.0007892854969,12.57566604,7.635572302,0,1,0.0004969554275,0,0.0004969554275
43,23,306.905,0.0002225214534,0.9647974865,0.02402052523,0.01095946686,0.03520251354,0.9888180117,0.9647974865,0.0002225214534,12.58901771,7.634568666,0,1,0.0002256550006,0,0.0002256550006
