T,E_mean,E_std,C_mean,C_std,Rg_mean,Rg_std,local_acc_rate
280.0,-46.61639999999998,23.723085779046524,3.8333333333333335,1.950783318453271,2.1836747058781154,0.40710127189041256,0.407
300.0,-173.75800000000004,68.15349481868118,4.333333333333333,1.699673171197595,2.3210419952541304,0.3574409829142798,0.378
320.0,-170.08800000000008,85.60908262842213,2.5,1.2583057392117916,2.4992800378947555,0.16411162516446853,0.36
340.0,-527.8482,197.85217117201415,5.5,2.0615528128088303,1.9878863037669354,0.2768417898893958,0.33
