T,E_mean,E_std,C_mean,C_std,Rg_mean,Rg_std,Rg_mean_lattice,Rg_std_lattice,local_acc_rate
280.0,-310.576781666667,135.13991701120077,9.391666666666667,4.086554851651395,3.663399115184014,0.7322769604705108,3.663399115184014,0.7322769604705108,0.5587495
282.7586206896552,-357.2253387931038,156.50892382868062,9.795,4.291422646784319,3.6653775826675905,0.7344715544911748,3.6653775826675905,0.7344715544911748,0.553619
285.51724137931035,-391.1671945459774,163.76259186342466,9.810833333333333,4.107316557748569,3.6816948801293643,0.7361517978031697,3.6816948801293643,0.7361517978031697,0.5485485
288.2758620689655,-430.6978256091958,191.48809172096858,9.953333333333333,4.425248266732864,3.611258517237718,0.7185993992546688,3.611258517237718,0.7185993992546688,0.5434925
291.0344827586207,-482.90469296551765,206.45120326409656,10.346666666666666,4.4234024109150285,3.6243698320284907,0.7297333854187534,3.6243698320284907,0.7297333854187534,0.5393715
293.7931034482759,-522.8483114367821,212.864948528395,10.441666666666666,4.2510701267118876,3.5700307422490747,0.7065600401279526,3.5700307422490747,0.7065600401279526,0.533482
296.55172413793105,-577.6532575000006,240.0789244976789,10.8025,4.489635517871505,3.5432794665015717,0.7229364065311533,3.5432794665015717,0.7229364065311533,0.530292
299.3103448275862,-613.6791664137937,254.86577634601363,10.79,4.481171721770992,3.558159186146394,0.7091630961570974,3.558159186146394,0.7091630961570974,0.524589
302.0689655172414,-686.4383890459776,276.61739288558607,11.388333333333334,4.5892116849072115,3.476097283565213,0.7030954650982943,3.476097283565213,0.7030954650982943,0.520049
304.82758620689657,-738.4334254942536,306.71025790626504,11.596666666666666,4.816705882193302,3.4827617688413874,0.7286228755880142,3.4827617688413874,0.7286228755880142,0.515475
307.58620689655174,-758.921762017242,325.4252234854494,11.314166666666667,4.851508284944888,3.490818862199006,0.7144114642040374,3.490818862199006,0.7144114642040374,0.5106395
310.3448275862069,-836.9837531321846,325.3740105815641,11.875833333333333,4.616681633549747,3.4295713537046035,0.6989715038412575,3.4295713537046035,0.6989715038412575,0.505281
313.1034482758621,-887.1596831609204,349.22760615818487,12.008333333333333,4.727042474481857,3.4731219118208734,0.735404312221603,3.4731219118208734,0.735404312221603,0.5025565
315.86206896551727,-932.5052593103457,384.45173663597325,12.066666666666666,4.974825513411388,3.4522489393210436,0.7139654871767914,3.4522489393210436,0.7139654871767914,0.4963275
318.62068965517244,-987.3913498045986,416.14775978695224,12.238333333333333,5.157990295540396,3.439890821424222,0.7157008838465212,3.439890821424222,0.7157008838465212,0.4913055
321.37931034482756,-1069.089739620689,438.18033753787347,12.715,5.211408159029572,3.3611758127540976,0.6902494459469792,3.3611758127540976,0.6902494459469792,0.4871605
324.1379310344828,-1136.0964386206906,448.009869310153,12.986666666666666,5.1211804194822985,3.3515873674373657,0.6981707188031068,3.3515873674373657,0.6981707188031068,0.48153
326.8965517241379,-1209.4950171839075,487.0483833653766,13.308333333333334,5.359097923676667,3.326511979644682,0.7167508555626854,3.326511979644682,0.7167508555626854,0.4775825
329.65517241379314,-1229.2185687068975,502.29876033962296,13.0375,5.327547317168254,3.3372434562996474,0.6862028090902622,3.3372434562996474,0.6862028090902622,0.474449
332.41379310344826,-1320.5258988620685,519.5011193599942,13.518333333333333,5.31817611801473,3.3038751932340173,0.6905415157275889,3.3038751932340173,0.6905415157275889,0.4692945
335.17241379310343,-1402.7207445747122,544.5755376739922,13.876666666666667,5.387311223813065,3.2701432777880926,0.696058285599867,3.2701432777880926,0.696058285599867,0.4633145
337.9310344827586,-1409.2498090517238,542.6869922891025,13.4875,5.193891644679033,3.2874136114032626,0.6961939560352857,3.2874136114032626,0.6961939560352857,0.4589185
340.6896551724138,-1526.3227464310341,580.4589784050487,14.1475,5.3802797712262755,3.240677397299826,0.6644216398082257,3.240677397299826,0.6644216398082257,0.4556745
343.44827586206895,-1565.1612436954022,605.6726593528641,14.064166666666667,5.442430459413841,3.249680657058637,0.6770718944687026,3.249680657058637,0.6770718944687026,0.4501465
346.2068965517241,-1655.4248107528733,641.8666229523496,14.434166666666666,5.596635832255739,3.2561897481673965,0.7124969316765903,3.2561897481673965,0.7124969316765903,0.4475235
348.9655172413793,-1760.210634948276,672.2276907937726,14.905833333333334,5.69256526581431,3.197710861589521,0.6820340045873449,3.197710861589521,0.6820340045873449,0.44138
351.7241379310345,-1826.4931320402297,702.0648581434178,15.034166666666666,5.778811813186359,3.184326003114076,0.6961924681605574,3.184326003114076,0.6961924681605574,0.436792
354.48275862068965,-1935.2785791091956,734.8740004968266,15.495833333333334,5.8841580512612195,3.1461246593736343,0.7167609215004825,3.1461246593736343,0.7167609215004825,0.432462
357.2413793103448,-2014.9174974310345,733.0119343743488,15.705833333333333,5.713664845983025,3.109835063090114,0.6748050316858423,3.109835063090114,0.6748050316858423,0.42978
360.0,-2068.219719,773.7156629117028,15.705,5.87519999659586,3.131691449617141,0.7005538593494697,3.131691449617141,0.7005538593494697,0.424192
