temperature,K,JS_contact_full,JS_contact_overlap,JS_rg,combined_score,n_direct_seeds
280.0,-0.4,0.05482918782409285,0.017787977013207414,0.070908337402152,0.06286876261312242,2
280.0,-0.32,0.05972029217328569,0.02300757492798971,0.061721816887687325,0.06072105453048651,2
280.0,-0.24,0.06858366333139627,0.03243101947515878,0.05963121850100074,0.06410744091619851,2
280.0,-0.16,0.0790657070319874,0.043577472762038105,0.05762491023407085,0.06834530863302912,2
280.0,-0.08,0.0983915312917765,0.06403700632693252,0.056023593529523935,0.07720756241065022,2
280.0,0.0,0.12826117392994763,0.09556279845393298,0.06062351923320866,0.09444234658157814,2
280.0,0.08,0.1628150211724252,0.1320320194947347,0.0689858689362432,0.1159004450543342,2
280.0,0.14,0.19181601018114955,0.16262019501255115,0.0826345432884893,0.13722527673481943,2
280.0,0.2,0.2268042568419404,0.19950777556855218,0.09405606003912712,0.16043015844053377,2
280.0,0.25,0.25496404989911275,0.2292476933622875,0.11010771229389693,0.18253588109650484,2
280.0,0.3,0.29574449986311213,0.27220803990804954,0.13970542043620715,0.21772496014965964,2
280.0,0.35,0.32974558531375253,0.308036999255637,0.161135282732622,0.24544043402318727,2
280.0,0.4,0.36152805899713797,0.34176694191600415,0.1916458634655442,0.2765869612313411,2
280.0,0.45,0.40477951174108423,0.38730450687302276,0.22849921233833656,0.3166393620397104,2
280.0,0.5,0.43917770039553494,0.4236224273516451,0.26960232788948657,0.35439001414251076,2
280.0,0.53,0.45972364185642,0.44539697113377064,0.2962694771598125,0.3779965595081163,2
280.0,0.5499999999999999,0.47362508621570987,0.46018984156261367,0.3139830783718124,0.3938040822937611,2
280.0,0.57,0.48751317158730956,0.47476744266687404,0.3298705114009933,0.40869184149415144,2
280.0,0.59,0.4991517136657768,0.48711635673986636,0.34659356039965117,0.422872637032714,2
280.0,0.6,0.5027014938333895,0.49096172622130635,0.3548404761226598,0.4287709849780246,2
280.0,0.61,0.5130533547861169,0.5018878145523327,0.3700419659572759,0.4415476603716964,2
280.0,0.63,0.5254772017760634,0.5149524714799463,0.3839018667558105,0.45468953426593695,2
280.0,0.65,0.5416189669816851,0.5320750381632997,0.4101316723801426,0.47587531968091384,2
280.0,0.66,0.5449279111172056,0.5355225592583155,0.41482091259989307,0.47987441185854934,2
280.0,0.7,0.5617319468142375,0.5534846142199736,0.4410930705180523,0.501412508666145,2
280.0,0.75,0.5869822498578752,0.5802639911568553,0.4845726339352106,0.5357774418965429,2
280.0,0.85,0.6237355414957473,0.6192172350316378,0.5436853509644448,0.583710446230096,2
280.0,0.95,0.6466382726778266,0.6437649505223073,0.5900080121597427,0.6183231424187847,2
280.0,1.05,0.666620450708026,0.6649120896319571,0.6267508620744129,0.6466856563912194,2
281.119,-0.4,0.05561593800871881,0.019042564829901333,0.07198853219928894,0.06380223510400387,2
281.119,-0.32,0.06025351628596101,0.02399843893038196,0.06263808630453843,0.06144580129524972,2
