temperature,K_best_contact_grid,K_best_rg_grid,K_best_combined_grid,K_best_combined_quadratic,JS_contact_min,JS_contact_overlap_at_contact_min,JS_rg_min,JS_contact_at_combined,JS_contact_overlap_at_combined,JS_rg_at_combined,combined_score_best,second_best_score_gap,contact_rg_K_difference,contact_rg_disagreement_raw,contact_rg_disagreement_resolved,K_old,K_difference_from_old,old_mapping_comparison_resolved,contact_boundary_hit_low,contact_boundary_hit_high,rg_boundary_hit_low,rg_boundary_hit_high,combined_boundary_hit_low,combined_boundary_hit_high,n_direct_seeds_at_best_K
280.0,-0.4,-0.08,-0.32,-0.32895306945091524,0.05482918782409285,0.017787977013207414,0.056023593529523935,0.05972029217328569,0.02300757492798971,0.061721816887687325,0.06072105453048651,0.00214770808263591,0.32,True,,-0.4387662565068686,0.11876625650686862,True,True,False,False,False,False,False,2
281.119,-0.4,-0.08,-0.32,-0.3237670663659996,0.05561593800871881,0.019042564829901333,0.05568837431724713,0.06025351628596101,0.02399843893038196,0.06263808630453843,0.06144580129524972,0.002356433808754152,0.32,True,,-0.4295583387475117,0.1095583387475117,True,True,False,False,False,False,False,2
282.243,-0.4,-0.08,-0.32,-0.32214620598488236,0.05557199896809617,0.019525957411337173,0.056303263277993565,0.05980713932946067,0.024048076206689945,0.06368229331662695,0.061744716323043805,0.00256136255207208,0.32,True,,-0.42038278025466425,0.10038278025466424,True,True,False,False,False,False,False,2
283.371,-0.4,-0.08,-0.32,-0.3147702339893516,0.05384255907847556,0.019873364184774298,0.05582784626602939,0.05741909987654342,0.023691844179687255,0.06383677755590951,0.060627938716226466,0.0023680989696105367,0.32,True,,-0.4112477478336387,0.0912477478336387,True,True,False,False,False,False,False,2
284.504,-0.4,-0.08,-0.32,-0.3112162908941979,0.053453669292500776,0.019624048531393254,0.054746718134992045,0.056739357640141985,0.023135376768059407,0.06341722219922712,0.06007828991968455,0.0019685769352181665,0.32,True,,-0.4021451426480176,0.08214514264801759,True,True,False,False,False,False,False,2
285.641,-0.4,-0.08,-0.32,-0.3066401315745426,0.05332019294056029,0.020156017646561487,0.053985846850703054,0.05625347785826466,0.0232936702429652,0.06352188722867146,0.05988768254346806,0.0017250023408776696,0.32,True,,-0.39308299531016444,0.07308299531016443,True,True,False,False,False,False,False,2
286.783,-0.4,-0.08,-0.32,-0.2965084519041658,0.05365090449979886,0.02111678735926063,0.054310361499044134,0.05558078769911712,0.023209129548299248,0.06465632891183738,0.06011855830547725,0.0010495833549774153,0.32,True,,-0.3840533283753451,0.06405332837534511,True,True,False,False,False,False,False,2
287.929,-0.4,-0.08,-0.32,-0.298671671379971,0.05369152189683603,0.022193463467720942,0.053601826462077284,0.055517755312471315,0.02416419161434001,0.06395742202417436,0.059737588668322836,0.0012642741209615976,0.32,True,,-0.37506403858741577,0.055064038587415765,True,True,False,False,False,False,False,2
289.08,-0.4,-0.08,-0.32,-0.28927739192586976,0.054192607281507155,0.023741615484652152,0.05246787926411861,0.05522638342649615,0.02488245524129483,0.06384828221724757,0.05953733282187186,0.000596845147835881,0.32,True,,-0.3661072681265465,0.046107268126546475,True,True,False,False,False,False,False,2
290.235,-0.4,-0.08,-0.32,-0.28374650535183504,0.05470323188383692,0.025135677060934572,0.05182671196288577,0.05541288701658076,0.025938330540023646,0.06408875266517955,0.059750819840880154,0.00023841995176140246,0.32,True,,-0.35719078216101274,0.037190782161012736,True,True,False,False,False,False,False,2
291.395,-0.4,-0.08,-0.32,-0.2822293381039371,0.053888884227758796,0.02408513196312255,0.05102451539499566,0.05434001553863,0.02461998704871152,0.06330215604022633,0.05882108578942817,0.00014199555294657634,0.32,True,,-0.3483068407474319,0.028306840747431894,True,True,False,False,False,False,False,2
292.56,-0.32,-0.08,-0.24,-0.23688827107819513,0.05331410576382027,0.0251924731678625,0.04925482855921973,0.05659010964940554,0.028681238289374605,0.0586105053299803,0.05760030748969292,0.00041920978848140195,0.24,True,True,-0.33945551226179593,0.09945551226179594,True,False,False,False,False,False,False,2
293.729,-0.32,-0.08,-0.16,-0.19366469569527014,0.05066072665979525,0.02314526406946385,0.04858969126364715,0.057345318742430984,0.03025525973553196,0.053306393102218394,0.05532585592232469,0.00034054657716717923,0.24,True,True,-0.3306443679783666,0.1706443679783666,True,False,False,False,False,False,False,2
