baseline,model,temperature_index,temperature,n_seeds,ess_contacts_min,ess_contacts_median,ess_contacts_total,tau_contacts_max,ess_rg_min,ess_rg_median,tau_rg_max,drift_contacts_max,seed_mean_contacts_std,seed_mean_rg_std,rhat_contacts,rhat_rg
final_joint_baseline_30mer,hs,0,280.0,10,1112.8352342595413,1331.594964858226,13377.09040501811,1.3479084358773656,1175.5129882717804,1426.1646869731908,1.2760386443754017,0.12555438718235226,0.04426591364821372,0.004342012743598852,1.000015458226733,0.9999418268056751
final_joint_baseline_30mer,hs,1,281.119,10,1291.0717048595034,1439.166584924466,14239.25450300637,1.1618254775115164,1150.4876798226164,1408.8658656789294,1.3037949265404318,0.12692696461371666,0.03858819623782498,0.004373129020883416,0.9999368708561119,0.9999558985478953
final_joint_baseline_30mer,hs,2,282.243,10,1267.791019547963,1411.5539650708756,14047.629694135545,1.1831602976134286,1140.440588946078,1429.3337335619012,1.3152811418139754,0.09677516346027751,0.05666431367663814,0.005140004695506515,0.9999710212601112,0.9997321811745644
final_joint_baseline_30mer,hs,3,283.371,10,1050.74516380072,1398.742664373222,13582.750859734135,1.427558319254357,1374.1922706377316,1444.8557889831095,1.0915503107173525,0.1112481260411046,0.02189926432046921,0.007612784679900228,0.9997892249021647,1.0002494529085169
final_joint_baseline_30mer,hs,4,284.504,10,1321.4785663729858,1482.9520893972337,14401.883091643587,1.1350921900436082,1124.9023184124515,1397.126637979789,1.3334491141567875,0.05974163263467288,0.0555649769789088,0.00963623670091247,0.9999698675167832,1.0003217315692976
final_joint_baseline_30mer,hs,5,285.641,10,1279.3738394735426,1467.8523544895634,14209.041738906299,1.1724485476561286,1153.224549142355,1472.2173497166928,1.3007007187936983,0.11792188450035804,0.049761252217184276,0.007586482848263194,1.0000729834187114,1.0001191596946724
final_joint_baseline_30mer,hs,6,286.783,10,1399.710209712599,1500.0,14769.99754519799,1.0716503956258157,1314.8287417789888,1470.3552479412847,1.1408329863328595,0.10130791465176324,0.04816863894462637,0.007431859920136211,0.9998626640780863,1.0002761786530838
final_joint_baseline_30mer,hs,7,287.929,10,1368.4903558742067,1481.7450411842804,14677.4243183706,1.0960983346073956,1222.5818338874026,1500.0,1.226911735822624,0.10416721421179341,0.06067124524846998,0.0060180507974599085,1.0002077117633712,0.9998476047755979
final_joint_baseline_30mer,hs,8,289.08,10,1283.8870229940694,1392.9178754219179,13870.520135568699,1.168327098206778,1115.3809422302654,1477.4853177453779,1.344832014971197,0.09915658153017447,0.02854672582899057,0.00529628161214821,0.9999654484279198,0.9998276514579483
final_joint_baseline_30mer,hs,9,290.235,10,1101.4791896120544,1482.0632184818232,14284.525114106156,1.3618051200116694,1230.1749839142108,1479.4482058953574,1.219338727915968,0.09497355206435718,0.052255313392781194,0.004806207582189427,1.0001640365771147,0.9996165787094724
final_joint_baseline_30mer,hs,10,291.395,10,1173.5561390832545,1460.7292167624082,14276.588192912925,1.2781663782797414,1146.3518892242348,1458.8192898107327,1.308498737691345,0.14589708234864726,0.03325864966858662,0.004783921486483183,0.9998927998941805,1.0000489550948313
final_joint_baseline_30mer,hs,11,292.56,10,1162.7408264464518,1452.4220631707499,14172.031888366173,1.290055329513348,1272.9971553589196,1440.9723974607687,1.1783215647305019,0.09655625727369888,0.0740607858451421,0.007200654548486243,1.0003290994683205,1.0002986074904046
final_joint_baseline_30mer,hs,12,293.729,10,1290.3864733099713,1493.1321816431023,14263.463554067137,1.1624424395525077,1262.4579595602152,1498.6854967800973,1.1881583767926291,0.12117471200504078,0.03872157021609541,0.007339020731163032,0.9998375176786539,1.0000648280979014
final_joint_baseline_30mer,hs,13,294.903,10,1145.6585585875687,1475.632173336656,14333.936899498009,1.3092906160883424,1406.9106646268256,1478.1564117574203,1.0661657756342802,0.08882508597016461,0.053289315168344085,0.0071016366005699815,1.0000170177428875,1.000123647690459
final_joint_baseline_30mer,hs,14,296.082,10,1273.2248025994343,1391.350096147972,14001.935304924831,1.1781108857898293,1210.559474506363,1426.8667941392082,1.2390964934718833,0.06120802979605757,0.03776212093855126,0.004838752101359982,0.9996733834412267,0.9997635138645976
final_joint_baseline_30mer,hs,15,297.266,10,1193.6716737656145,1371.865747566383,13657.088560696026,1.2566269544354918,1327.1180469989313,1500.0,1.1302687077400644,0.06387684725215581,0.06793264638187184,0.006836080690786723,0.9999366984682926,1.000321369570432
final_joint_baseline_30mer,hs,16,298.454,10,1138.425548407976,1498.8335109905152,14531.978293697386,1.3176092209961956,1217.5769235065031,1500.0,1.2319550174129006,0.12371873395581057,0.05419639184382014,0.0040837884684672325,1.0001563269142821,0.9997087673612772
final_joint_baseline_30mer,hs,17,299.647,10,1070.6428296218162,1456.0192771840836,13894.276179605657,1.4010274561217075,1189.003365910609,1435.08328093247,1.2615607684602401,0.1093636745329188,0.06272142997236098,0.006493385281874749,1.0001394205739265,0.9997919253345263
final_joint_baseline_30mer,hs,18,300.845,10,1092.924546281133,1424.1772430567844,13926.145096616408,1.37246437103459,1315.9161297377964,1500.0,1.1398902757570752,0.09554955852175458,0.06919951830275504,0.007266540242595617,1.0001675167235804,0.9999691202467761
final_joint_baseline_30mer,hs,19,302.047,10,1283.300853143402,1442.5833993451197,14274.008518402572,1.1688607518071858,1335.0379783150925,1448.6748294911083,1.1235635422844679,0.11873927181410193,0.05275861172463799,0.006745885725741237,1.0001332592892103,0.9999351929179947
final_joint_baseline_30mer,hs,20,303.254,10,1185.414986422389,1430.3045287683217,13900.706514068115,1.265379649473672,1191.2475463564108,1446.9301144939977,1.2591841255731855,0.09924312627339094,0.08606377480295258,0.009552343597653624,1.0004343260247752,1.0004248241035671
final_joint_baseline_30mer,hs,21,304.467,10,1077.8559488167878,1494.2021751092202,14447.718897872803,1.3916516410626292,1215.6735827243137,1466.2655714172995,1.2338838495104199,0.10537541246017905,0.060834054790242446,0.008651251596300941,0.9999741447748404,1.0006918491874939
final_joint_baseline_30mer,hs,22,305.683,10,1004.0996255630612,1446.8410680494867,13892.536637715848,1.4938756691188453,847.1877812874618,1339.8343624309318,1.7705637795206002,0.11442862330877995,0.04404966893557018,0.006321799381115688,1.0000342422947386,1.0002102687742782
