baseline,model,seed,temperature_index,temperature,split,target_vs_fit_contact_js,target_vs_remd_contact_js,fit_vs_remd_contact_js,target_vs_fit_rg_js,target_vs_remd_rg_js,fit_vs_remd_rg_js,target_mean_contacts,fit_mean_contacts,remd_mean_contacts,target_mean_rg,fit_mean_rg,remd_mean_rg
final_joint_baseline_30mer,hs,1,0,280.0,train,0.08023299329307379,0.08131137247352238,0.0016170764045602285,0.09502098613121673,0.10982020499949949,0.009029834952644422,2.543307513198239,2.9353840456133904,2.842,1.4490542803047362,1.5250820179572278,1.5305418000195667
final_joint_baseline_30mer,hs,1,1,281.119,train,0.08166690137743014,0.08557864548530976,0.0013800580549455568,0.09568984470462655,0.10460351927192377,0.00990797663031789,2.607172003596376,2.9706857224683647,2.9673333333333334,1.4453908784431428,1.5230404964917843,1.519095195397932
final_joint_baseline_30mer,hs,1,2,282.243,train,0.08186222189984273,0.08591286090297182,0.0020262805942988732,0.09631126346309937,0.09924325135652978,0.009048130098206406,2.6356502293842357,3.0063938841503335,2.944,1.4450302196769296,1.5209789078042868,1.5225118504868758
final_joint_baseline_30mer,hs,1,3,283.371,train,0.07922614820111684,0.08056342242237992,0.0016407601669838371,0.09575742722388994,0.10468864468833966,0.009619083151516224,2.7111095741983076,3.0424808978278004,3.054,1.4426351112681033,1.5188989511155515,1.515478636275776
final_joint_baseline_30mer,hs,1,4,284.504,train,0.07874698961511863,0.08413272578283072,0.0013314664842484804,0.09412475017025715,0.09926219953438423,0.00797766536978067,2.759010247366115,3.0789829461373106,3.094666666666667,1.4411339909979202,1.516798646910604,1.5160614760942157
final_joint_baseline_30mer,hs,1,5,285.641,train,0.07867974804854051,0.07958872714552861,0.0007645777198622672,0.09354164455344582,0.10956080478888408,0.010069636508264309,2.779320982317818,3.1158720554138957,3.136,1.4388363579313137,1.5146797127848395,1.5152867892581001
final_joint_baseline_30mer,hs,1,6,286.783,train,0.07829642505867242,0.078819727071544,0.0010393179486069084,0.09419948268628386,0.10146058370375055,0.008414912671900344,2.848500789588953,3.153184969133022,3.1759999999999997,1.436106212846229,1.5125401483710494,1.520242329432271
final_joint_baseline_30mer,hs,1,7,287.929,train,0.07895332637272867,0.07381843443522038,0.0020271561595556617,0.09236432975802876,0.09779320252321919,0.008891806478844872,2.858525687576366,3.1908933671102866,3.188666666666667,1.4361933836522711,1.510381689932435,1.5216895650282294
final_joint_baseline_30mer,hs,1,8,289.08,train,0.07879517071685099,0.07926931382836713,0.0014261592261293756,0.0908970758592495,0.09019689759324998,0.009719605293108457,2.931267722525763,3.2290345635433617,3.238,1.4333961198315441,1.5082023162194385,1.5099790560763622
final_joint_baseline_30mer,hs,1,9,290.235,train,0.07938092065444216,0.08154240742486281,0.0007016950471416997,0.09021052544820063,0.08937414718900893,0.007087496308647713,2.993197143647555,3.267579885566739,3.309333333333333,1.430608882046017,1.5060037824821264,1.4941486260479682
final_joint_baseline_30mer,hs,1,10,291.395,train,0.07837308071448701,0.08170413004520283,0.001044094796101471,0.08808296819675197,0.0926989822509866,0.010626649158433001,2.9908893249878963,3.3065672278741958,3.317333333333334,1.4303011384655808,1.5037840465863217,1.4989704254309446
final_joint_baseline_30mer,hs,1,11,292.56,train,0.07688724633695455,0.08131956363852705,0.0017840747410451676,0.08606323759248029,0.09559927340744961,0.008050191902351185,3.0821580272955718,3.3460015276586375,3.322,1.4258314762733413,1.5015429543654109,1.5071798885036878
final_joint_baseline_30mer,hs,1,12,293.729,train,0.07256678472612099,0.06821413597148754,0.0015708713347201242,0.08474191979424198,0.08369015695041111,0.007601097941376178,3.150122904995735,3.385853573380215,3.4220000000000006,1.423585365887622,1.4992822901534073,1.4952544628419164
final_joint_baseline_30mer,hs,1,13,294.903,train,0.0718254808949213,0.07439317927234079,0.0012091105458210281,0.0849276166363612,0.08410050970215958,0.0075451213610381465,3.19203235585679,3.4261621518539886,3.4793333333333334,1.4218773193909555,1.4969999804852958,1.4905014623595967
final_joint_baseline_30mer,hs,1,14,296.082,train,0.0714607805687376,0.07583688650851089,0.0016719651834505704,0.08550859149222727,0.0921011174992194,0.0080067608238097,3.262342658551767,3.466932384741532,3.4226666666666667,1.419300628344623,1.4946958701978,1.4984972397461709
