baseline,model,n_parameters,n_seeds,mean_rank,median_rank,std_rank,prob_rank1,n_seed_wins,mean_score,seed_ranks
final_joint_baseline_30mer,hs,2,10,3.2,3.0,1.2489995996796797,0.0062,1,0.11227459479332913,1:3;2:1;3:5;4:3;5:2;6:2;7:4;8:3;9:4;10:5
final_joint_baseline_30mer,hs_quadratic,3,10,3.8,4.5,1.5362291495737217,0.0054,2,0.11248992818718558,1:5;2:5;3:4;4:1;5:5;6:3;7:5;8:4;9:5;10:1
final_joint_baseline_30mer,poly2,3,10,2.9,3.0,1.7,0.1794,4,0.112198693065558,1:4;2:3;3:1;4:5;5:1;6:5;7:1;8:5;9:1;10:3
final_joint_baseline_30mer,poly3,4,10,2.6,2.5,1.1135528725660042,0.187,2,0.11214673189717166,1:1;2:4;3:2;4:2;5:3;6:4;7:3;8:1;9:2;10:4
final_joint_baseline_30mer,heat_capacity,3,10,2.5,2.0,0.9219544457292888,0.622,1,0.11201091485525719,1:2;2:2;3:3;4:4;5:4;6:1;7:2;8:2;9:3;10:2
