temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,300.0,pivot,1609,1019,935,0.633313,0.918468,0.581106,1018,0.632691
0,300.0,crankshaft,1581,787,745,0.497786,0.946633,0.471221,787,0.497786
0,300.0,end,1610,999,970,0.620497,0.970971,0.602484,999,0.620497
1,320.0,pivot,1613,948,805,0.587725,0.852754,0.499070,944,0.585245
1,320.0,crankshaft,1586,734,693,0.462799,0.944142,0.436948,734,0.462799
1,320.0,end,1601,939,895,0.586508,0.953142,0.559026,939,0.586508
2,340.0,pivot,1560,931,714,0.596795,0.776931,0.457692,919,0.589103
2,340.0,crankshaft,1635,739,652,0.451988,0.882273,0.398777,739,0.451988
2,340.0,end,1605,945,874,0.588785,0.924868,0.544548,945,0.588785
3,360.0,pivot,1623,886,597,0.545903,0.682286,0.367837,875,0.539125
3,360.0,crankshaft,1563,668,569,0.427383,0.851796,0.364044,668,0.427383
3,360.0,end,1614,936,841,0.579926,0.898504,0.521066,936,0.579926
