T,E_mean,E_std,C_mean,C_std,Rg_mean,Rg_std,Rg_mean_lattice,Rg_std_lattice,local_acc_rate,Rg2_mean,Rg2_std,Rg2_mean_lattice,Rg2_std_lattice,Ree2_mean,Ree2_std,Ree2_mean_lattice,Ree2_std_lattice,m_long_mean,m_long_std,Smax_mean,Smax_std,largest_component_fraction_mean,largest_component_fraction_std,n_structural_samples,m_long_fixed_mean,m_long_fixed_std,m_global_scaled_mean,m_global_scaled_std,state_changing_acceptance_rate
300.0,-367.5650000000003,154.28903602330286,9.166666666666666,3.8477987935383986,3.781579500385357,0.7184125119745987,3.781579500385357,0.7184125119745987,0.5522916666666666,14.81646005509642,5.761034834138134,14.81646005509642,5.761034834138134,83.66666666666667,52.442561171459026,83.66666666666667,52.442561171459026,0.375,0.6959705453537527,4.375,1.79843682124227,0.09943181818181818,0.040873564119142496,24,0.375,0.6959705453537527,0.375,0.6959705453537527,0.5520833333333334
320.0,-737.0479999999999,265.6859493751222,10.833333333333334,3.905124837953327,3.434753834855612,0.6272694893092722,3.434753834855612,0.6272694893092722,0.499375,12.191000918273646,4.474754140847622,12.191000918273646,4.474754140847622,69.77777777777777,42.70643401377408,69.77777777777777,42.70643401377408,1.375,2.341874249399399,4.375,1.4947825928876748,0.09943181818181818,0.03397233165653806,24,1.375,2.341874249399399,1.375,2.341874249399399,0.49854166666666666
340.0,-1210.3185999999998,543.9742656754637,12.61111111111111,5.668028158881759,3.4341930953764463,0.766383686196174,3.4341930953764463,0.766383686196174,0.4691666666666667,12.381026170798897,5.65931239814723,12.381026170798897,5.65931239814723,71.83333333333333,55.35014804757878,71.83333333333333,55.35014804757878,2.125,2.521780125229002,7.375,3.7728470681966426,0.16761363636363635,0.08574652427719641,24,2.125,2.521780125229002,2.125,2.521780125229002,0.4666666666666667
360.0,-1875.8536666666669,593.6412091072707,15.13888888888889,4.790921842272678,3.062240157109213,0.6006466172776372,3.062240157109213,0.6006466172776372,0.42041666666666666,9.73809113865932,3.889171147147951,9.73809113865932,3.889171147147951,49.833333333333336,37.18833449110382,49.833333333333336,37.18833449110382,3.0,2.0615528128088303,8.375,1.8666480653835098,0.1903409090909091,0.04242381966780705,24,3.0,2.0615528128088303,3.0,2.0615528128088303,0.418125
