temperature_index,temperature,observable,n_samples,mean,std,tau_int,tau_int_samples,tau_int_cycles,sample_cycle_spacing,ess,drift,drift_in_std,block_mean_std,block_mean_range_over_std,acf_method
0,300.0,contacts,36,8.61111111111111,3.974067170612899,1.6287212559442379,1.6287212559442379,1.6287212559442379,1,22.1032296770323,1.666666666666667,0.41938563066854906,1.7847997658229433,1.2851173968343395,geyer_initial_positive_sequence
0,300.0,rg,36,3.696605188095071,0.6439820882578214,1.0665636512655379,1.0665636512655379,1.0665636512655379,1,33.75325978649654,0.24968826351944529,0.3877254788171707,0.19800062894266818,0.8523462875307022,geyer_initial_positive_sequence
0,300.0,rg2,36,14.0796028466483,5.0824455246047755,1.0383266603611432,1.0383266603611432,1.0383266603611432,1,34.67116984887853,1.6176538108356286,0.31828256751682976,1.4815546308027605,0.7942239113692006,geyer_initial_positive_sequence
0,300.0,ree2,36,82.61111111111111,56.912836756344525,1.4472716683336633,1.4472716683336633,1.4472716683336633,1,24.874390059365364,32.33333333333333,0.5681202199032694,21.04712399762563,1.0944053720669757,geyer_initial_positive_sequence
0,300.0,m_long_fixed,8,0.5,0.8660254037844386,1.0,1.0,5.0,5,8.0,0.0,0.0,0.48989794855663565,1.1547005383792517,geyer_initial_positive_sequence
0,300.0,m_global_scaled,8,0.5,0.8660254037844386,1.0,1.0,5.0,5,8.0,0.0,0.0,0.48989794855663565,1.1547005383792517,geyer_initial_positive_sequence
0,300.0,smax,8,4.25,1.3919410907075054,1.0,1.0,5.0,5,8.0,0.5,0.3592106040535498,1.019803902718557,1.7960530202677492,geyer_initial_positive_sequence
0,300.0,largest_component_fraction,8,0.09659090909090909,0.03163502478880694,1.0,1.0,5.0,5,8.0,0.011363636363636354,0.3592106040535495,0.02317736142542175,1.7960530202677492,geyer_initial_positive_sequence
0,300.0,energy,36,-345.28833333333364,159.35214540723612,1.6287212559442379,1.6287212559442379,1.6287212559442379,1,22.1032296770323,-66.82999999999993,-0.4193856306685483,71.56690100996846,1.2851173968343401,geyer_initial_positive_sequence
1,320.0,contacts,36,10.11111111111111,4.993205259693626,1.6719209925449094,1.6719209925449094,1.6719209925449094,1,21.532117941292615,1.7777777777777786,0.3560393946005856,2.0790500185401593,1.144412339787596,geyer_initial_positive_sequence
