temperature_index,temperature,move_type,proposed,geometrically_valid,metropolis_accepted,a_geometry,a_metropolis,a_total,state_changing,a_state_changing
0,300.0,pivot,1579,1012,935,0.640912,0.931275,0.592147,1004,0.635845
0,300.0,crankshaft,1576,769,754,0.487944,0.980494,0.478426,769,0.487944
0,300.0,end,1645,1001,961,0.608511,0.960040,0.584195,1001,0.608511
1,320.0,pivot,1605,1008,861,0.628037,0.860140,0.536449,1001,0.623676
1,320.0,crankshaft,1594,770,715,0.483061,0.928571,0.448557,770,0.483061
1,320.0,end,1601,1000,957,0.624610,0.957000,0.597751,1000,0.624610
2,340.0,pivot,1604,971,771,0.605362,0.800623,0.480673,963,0.600374
2,340.0,crankshaft,1637,732,662,0.447159,0.904372,0.404398,732,0.447159
2,340.0,end,1559,924,857,0.592688,0.927489,0.549711,924,0.592688
3,360.0,pivot,1590,889,617,0.559119,0.700341,0.388050,881,0.554088
3,360.0,crankshaft,1590,667,576,0.419497,0.863568,0.362264,667,0.419497
3,360.0,end,1620,950,846,0.586420,0.890526,0.522222,950,0.586420
